id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ear_t,ear_f,ear_m,ear_agr,ear_ind,ear_sev
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,3,2,3.2,2.7,3.9,4
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,3.8,1.9,4.2,2.7,3.8,6.9
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,9.200000000000001,1.1,10.5,3.4,3.2,13.3
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,3.5,2.5,3.6,2.6,3.8,5.5
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,3.5,2.5,3.7,2.6,3.8,5.5
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,6.100000000000001,,6.100000000000001,,2.6,6
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,2.9,,2.9,2.7,2.3,7.100000000000001
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,2.9,2.4,2.9,2.7,2.3,6.800000000000001
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,3.3,2.4,3.3,,2.6,3.7
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,3.5,2.1,3.6,3,4.100000000000001,4.600000000000001
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,3.6,2.1,3.8,3,4.100000000000001,4.800000000000001
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,5.2,,5.2,2.5,4.100000000000001,6.100000000000001
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,3.2,2,3.3,2.8,3.4,4.4
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,3.3,2.3,3.4,2.8,3.4,4.9
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,5.100000000000001,4.3,5.2,2.9,4.3,10.3
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,3.2,,3.2,2.2,2.7,19.5
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,3.8,,3.8,2.2,2.9,20.7
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,21.8,,21.8,,14.5,22.9
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,4.4,,4.4,2.4,2.5,16.2
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,4.7,,4.7,2.4,3.2,16.1
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,12,,12,,10.7,15.1
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,3.1,2.6,3.4,2.2,4.800000000000001,5.2
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,3.1,2.6,3.4,2.2,4.7,5.2
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,2.9,,2.9,,3.1,1.4
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,2.6,1.3,2.6,2.6,3,4.4
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,2.5,1.3,2.5,2.6,2.4,4.600000000000001
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,2.1,,2.1,,1.7,5.300000000000001
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,2.5,1.7,2.7,2.3,3.9,10.5
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,2.5,1.7,2.7,2.3,3.8,7.800000000000001
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,3.3,,3.3,2.4,2.7,3.8
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,4,2.1,4.800000000000001,2,2.6,13.1
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,5,3.9,5.300000000000001,2,2.5,12.1
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,7.7,16.3,6.600000000000001,,2.4,11.3
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,2.7,2.3,2.8,1.7,4,5.7
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,3,2.3,3.2,1.7,3.9,6.300000000000001
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,7.4,5.100000000000001,7.4,2.1,3.2,9
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,2.7,,2.7,2,4.4,7.5
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,2.8,1.5,2.8,2,4.2,6.5
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,3.6,1.5,3.9,1.6,3.2,5.100000000000001
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,3.3,2.7,3.4,2.6,3.9,5.100000000000001
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,3.3,2.7,3.4,2.6,3.5,5.100000000000001
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,3.5,,3.5,,3.3,5.5
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,3.7,2.6,3.7,3.1,2.9,11.5
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,5,6.300000000000001,4.9,3.1,3.4,7.7
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,6.5,7,6.4,,4.3,7.300000000000001
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,2.6,1.9,2.7,2.3,3.1,4
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,2.6,2.3,2.7,2.2,3.5,3.6
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,2.8,6.4,2.3,1.4,5,2.9
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,3.4,1.5,3.8,2,2.7,12.6
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,3.5,1.6,3.9,2,2.7,12.2
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,5.7,4.7,5.9,,3,10.2
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),3.3,1.2,3.3,3.4,3.3,2.6
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),3.5,1.2,3.5,3.4,3.3,4.9
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),15.7,,15.7,,,15.7
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,3.1,1.5,3.4,2.5,3.2,9.9
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,3.8,1.5,4.2,2.5,3.1,11.7
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,12.9,,12.9,,2.1,13.9
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,3.1,1.7,3.2,2.1,2.7,5.9
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,3.1,1.8,3.3,2.2,2.7,5.9
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,3.2,2.4,3.3,2.6,2.6,5.5
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,2.4,1.3,2.8,1.5,2.6,8.800000000000001
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,2.5,1.3,2.9,1.5,2.6,8.4
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,3.4,1,3.7,,2.9,5.7
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,2.4,2.9,2.4,2.7,2.9,3
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,2.7,5.5,2.6,2.7,2.9,4.4
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,5.7,18.2,5.100000000000001,,3,6.800000000000001
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,2,.9,2.3,1.9,3.6,5.2
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,2,.9,2.3,1.9,3.6,4.9
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,3.9,1.9,4,,,3.9
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,2.7,1.6,3.4,2.5,3.6,5.4
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,2.8,1.6,3.4,2.5,3.8,5
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,4.100000000000001,,4.100000000000001,,12.9,3.3
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,4.800000000000001,3.2,4.800000000000001,2.3,3.2,8.300000000000001
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,4.800000000000001,3.2,4.800000000000001,2.3,3.2,8.300000000000001
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,8.4,17.2,7.300000000000001,2.1,4.7,11.2
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,8.5,12.9,7.7,2.1,4.9,10.8
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,9.200000000000001,8.300000000000001,9.800000000000001,,6.5,9.700000000000001
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,12,11.7,12,16,6.7,14.4
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,11.9,11.4,12,16,6.9,14
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,10.2,9.200000000000001,10.8,,12.2,9.800000000000001
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,10.5,10,10.6,17.5,6.9,13.7
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,11,10.4,11.2,17.5,7,14
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,13.2,14.3,13.2,,7.100000000000001,14.9
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,8.9,6.800000000000001,9.5,10.7,4.800000000000001,12.9
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,9.5,7.800000000000001,10,10.7,5.7,11.6
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,10.2,8.800000000000001,10.6,10.7,8.1,10.7
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,14.2,8.200000000000001,16.6,3.2,2.7,20.7
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,13.4,8.1,15.6,3.2,2.7,18.6
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,10.2,8,11.2,,3.1,11.5
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,20,18.1,20.6,29.8,5.4,20.3
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,19.2,25.7,17.2,29.8,5,20.1
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,16.4,50.2,4,,4.3,19.3
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,8.4,,8.4,1.4,6.300000000000001,15.7
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,10,6.100000000000001,10.1,1.4,8.200000000000001,13.8
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,12.2,6.100000000000001,12.3,,11.4,12.5
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,14.8,16.8,14.7,,3.8,15.1
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,14.8,16.8,14.7,,3.8,15.1
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,14.9,15.2,14.9,8,5.9,15.3
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,14.9,15.2,14.9,8,5.9,15.3
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,15,14.5,15.1,8,7.600000000000001,15.4
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,15,14.5,15.1,8,7.600000000000001,15.4
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,5.300000000000001,6,4.600000000000001,4.2,3.9,10.9
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,8.5,6.4,9.600000000000001,4.4,4.100000000000001,13.4
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,13.7,9.700000000000001,14.1,6.2,6.4,14.9
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,13.9,6.2,14.9,,12.8,14.3
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,13.9,6.2,14.9,,12.8,14.3
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,14.2,9.600000000000001,14.9,,9.4,15.1
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,14.2,9.600000000000001,14.9,,9.4,15.1
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,14.3,10.9,14.8,,5.5,15.4
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,14.3,10.9,14.8,,5.5,15.4
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,13.4,9.300000000000001,14.1,8.9,11.3,14.6
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,13.4,9.300000000000001,14.1,8.9,11.3,14.6
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,14.3,9.300000000000001,15,8.800000000000001,9.800000000000001,16.1
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,14.3,9.300000000000001,15,8.800000000000001,9.800000000000001,16.1
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,17,,17,7.100000000000001,6.9,20.4
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,17,,17,7.100000000000001,6.9,20.4
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,8.5,,8.5,,13,7.600000000000001
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,8.5,,8.5,,13,7.600000000000001
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,10.5,6.800000000000001,10.8,4.800000000000001,8.5,15.3
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,12.3,11.3,12.4,4.800000000000001,8.5,15.8
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,16.3,14.8,16.6,,,16.3
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,6.300000000000001,6.4,6.100000000000001,4.5,4.2,9.600000000000001
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,7.2,6.300000000000001,7.7,4.5,3.5,9.800000000000001
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,8.6,6.2,8.9,,3.2,10
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,10.8,1.9,11.5,,7.9,13.9
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,11.9,7.800000000000001,12.3,,7.300000000000001,13.6
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,12.6,10.1,12.9,,5.800000000000001,13.4
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,16.1,,16.1,,12.2,16.4
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,16.1,,16.1,,12.2,16.4
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,3.2,3.2,3.2,,3.2,
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,3.2,3.2,3.2,,3.2,
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,,,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,15.2,20,13.3,19.9,8.6,15.2
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,15.2,20,13.3,19.9,8.6,15.2
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,12.6,9.9,14,19.9,24.7,11.5
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,12.6,9.9,14,19.9,24.7,11.5
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,11.6,6.9,14.3,,27.5,10.1
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,11.6,6.9,14.3,,27.5,10.1
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,4,2.6,4.5,3.7,4.3,4.2
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,4,2.6,4.5,3.7,4.3,4.2
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,5.800000000000001,4.100000000000001,6.300000000000001,3.7,5.4,7.9
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,5.800000000000001,4.100000000000001,6.300000000000001,3.7,5.4,7.9
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,9.300000000000001,7.2,9.9,2.6,6.800000000000001,11.6
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,9.300000000000001,7.2,9.9,2.6,6.800000000000001,11.6
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,13.1,1.1,16.3,3.2,14.8,14.2
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,13.1,1.1,16.3,3.2,14.8,14.2
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,13.1,1.1,16.3,3.2,14.8,14.2
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,13.1,1.1,16.3,3.2,14.8,14.2
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,,,,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,10,11,9.700000000000001,11,10.2,9.700000000000001
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,11.4,11.7,11.3,11,9.4,12.1
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,12.5,12.6,12.5,,6.600000000000001,13.4
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,13,8.4,13.5,12.5,15.3,13
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,13.5,9.200000000000001,13.8,12.5,11.1,14
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,13.8,9.800000000000001,14.1,,11,14.6
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,8.700000000000001,,8.700000000000001,7.2,7,10.8
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,11.9,18.7,11.4,7.2,7.100000000000001,14.9
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,16.5,18.7,16,,7.2,18.4
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,11.7,9.800000000000001,12.4,,4.4,12.3
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,12.7,9.1,13.2,26,3.9,13.2
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,13.3,6.4,13.6,26,2.8,13.8
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,12.1,10.7,12.3,4.600000000000001,11.1,12.4
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,11.5,6.5,12.5,17.6,14,11.1
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,11.2,5.300000000000001,12.6,17.8,17.8,10.4
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,12.1,11.3,12.1,6.4,11.7,12.8
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,12.1,12.1,12.1,15.2,9.1,13
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,12.1,12.1,12.1,18.4,8,13.2
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,9.800000000000001,.6000000000000001,9.800000000000001,2.7,9.5,9.9
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,10.6,6.5,10.8,8.700000000000001,11.5,10.4
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,11.5,6.9,12,15.6,12.1,11.1
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,10.5,.6000000000000001,11.3,,5.5,12.1
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,10.6,.6000000000000001,11.1,,7,11.7
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,10.6,,10.6,,13.2,10.9
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,13,21.2,12.3,7.7,7.7,16.7
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,11.8,10.7,12.1,10.8,9.600000000000001,13
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,11.2,8.200000000000001,11.9,12.4,11.2,11
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,11.9,10.8,12.1,4.600000000000001,8.300000000000001,13.2
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,10.7,10.3,10.8,15.8,10,10.6
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,10.3,10.2,10.4,16.8,10.4,9.700000000000001
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,8.700000000000001,,8.700000000000001,,5.800000000000001,9.9
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,9.800000000000001,11.5,9.700000000000001,,5.9,10.9
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,11.6,11.5,11.6,,6.2,12.2
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,4.4,3.2,5.100000000000001,,2.4,9.700000000000001
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,4.4,3.2,5.100000000000001,,2.4,9.700000000000001
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,,,,,,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,4.600000000000001,3.9,5.5,,2.6,12.8
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,4.600000000000001,3.9,5.5,,2.6,12.8
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,,,,,,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,5.100000000000001,1.6,8.9,3.9,3.7,10.5
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,5.100000000000001,1.6,8.9,3.9,3.7,10.5
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,,,,,,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,6.9,2.6,10.6,3.4,3.4,11.7
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,8.700000000000001,3.8,11.8,3.3,3.8,12.2
