id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,anc,cond,fam_pln
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,32.6,1.5,21.8
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,,,
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,19.3,.5,31.7
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,20.1,.6000000000000001,32.5
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,,,
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,13.5,1.1,30.9
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,13.7,1.1,31.8
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,,,
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,27.6,.2,30.1
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,28.5,.8,31.4
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,,,
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,19,.7000000000000001,32.9
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,20.2,1.3,33.3
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,,,
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,32.5,1.6,20.6
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,32.2,1.7,21.2
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,,,
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,32.3,.7000000000000001,21.2
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,33.3,.7000000000000001,21.5
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,,,
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,21.2,2.1,23.9
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,21.5,2,26.2
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,,,
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,15.2,2.2,41.1
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,16.3,2,41.3
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,,,
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,22.6,.8,30.3
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,23.1,.9,29.9
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,,,
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,29,1.1,25.6
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,29.4,1.1,26.6
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,,,
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,26.7,.7000000000000001,28.1
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,27.9,1.2,29.1
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,,,
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,16.2,2.3,36.5
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,20.8,2.8,36.7
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,,,
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,32.3,.7000000000000001,24.1
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,31.9,.9,23.8
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,,,
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,36,.8,34.7
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,37.3,1.2,35.5
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,,,
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,24.6,.4,27.3
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,25.8,.8,30
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,,,
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,43.40000000000001,1,23.3
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,43.7,1,25.3
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,,,
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,21.5,2.4,27.2
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,24.6,2.7,28.8
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,,,
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,14.5,1.7,38
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,24.1,2.7,41.5
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,,,
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,16.9,1.1,30.7
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,18.4,1.4,32.1
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,,,
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,18.2,1.1,27
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,21.4,1.7,29.3
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,,,
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),24.1,2.1,27
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),24.3,2.1,27.2
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),,,
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,21.1,1.8,34.4
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,25.6,2,36.4
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,,,
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,19.4,.6000000000000001,31.6
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,20.3,.9,32.5
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,,,
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,21.3,1.2,25.5
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,24.2,1.8,29.1
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,,,
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,22.5,1.2,23
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,23,1.1,24.9
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,,,
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,26.5,.9,21.7
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,27.9,1.6,21.9
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,,,
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,31.7,1.6,25
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,31.2,1.7,25.4
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,,,
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,,,
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,,,
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,68,2,64.8
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,67.90000000000001,2.1,64.8
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,63,4.9,60.7
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,62.90000000000001,4.800000000000001,60.8
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,,,
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,73.5,3.8,55
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,73.8,4,55.2
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,,,
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,70.8,4.9,62.2
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,72.90000000000001,5.4,61.90000000000001
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,,,
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,40.8,.8,48.1
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,46.40000000000001,1.4,50.5
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,,,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,53,2.8,50.90000000000001
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,55.90000000000001,2.7,50
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,,,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,10.5,.7000000000000001,31.3
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,25.5,1,33.7
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,,,
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,49.6,2.1,58
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,49.6,2.1,58
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,57.8,3.1,57.2
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,57.8,3.1,57.2
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,,,
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,,,
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,44.90000000000001,5,51.7
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,51.90000000000001,4.600000000000001,54.5
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,,,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,35.2,4.600000000000001,59.7
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,35.2,4.600000000000001,59.7
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,44.1,4.7,61.2
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,44.1,4.7,61.2
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,,,
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,,,
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,41.5,3,57.6
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,41.5,3,57.6
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,49.2,2.6,55.7
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,49.2,2.6,55.7
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,,,
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,,,
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,13.4,1.5,42.5
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,13.4,1.5,42.5
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,62.2,3.2,50.8
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,62.7,3.3,50.90000000000001
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,,,
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,39,2.2,43.5
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,44.6,2,44.3
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,,,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,64.3,4,51.3
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,61.7,4.4,51.5
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,,,
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,52.40000000000001,2.4,47.3
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,52.40000000000001,2.4,47.3
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,40.1,1.6,35.3
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,43.5,1.4,36.1
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,30.9,2.5,45.90000000000001
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,30.9,2.5,45.90000000000001
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,37.2,2.3,46.6
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,37.2,2.3,46.6
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,,,
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,,,
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,60.3,1.3,50.3
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,60.3,1.3,50.3
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,64.40000000000001,1.4,49.40000000000001
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,64.40000000000001,1.4,49.40000000000001
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,,,
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,,,
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,52.5,2.6,41.5
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,52.5,2.6,41.5
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,52.5,2.6,41.5
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,52.5,2.6,41.5
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,,,
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,,,
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,,,
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,,,
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,,,
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,,,
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,,,
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,,,
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,,,
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,,,
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,,,
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,,,
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,,,
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,,,
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,,,
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,,,
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,,,
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,,,
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,,,
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,,,
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,,,
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,,,
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,,,
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,,,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,,,
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,,,
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,,,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,,,
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,,,
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,,,
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,,,
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,,,
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,,,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,56.6,1.6,16.1
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,56.2,1.7,15.9
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,,,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,21.7,2.7,17.4
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,21.6,2.7,17.1
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,,,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,46.6,2.5,19.6
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,45.90000000000001,2.5,19.6
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,,,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,71.7,4,28.9
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,78.7,3,28.1
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,,,
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,74.90000000000001,3.7,28.1
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,80.30000000000001,3.5,25.1
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,,,
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,73.60000000000001,5.800000000000001,26
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,80.90000000000001,3.9,20.8
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,,,
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,68.10000000000001,4.100000000000001,23.9
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,73.40000000000001,3.4,20.9
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,,,
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,29.5,3,11.5
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,30.1,3,11.4
3_14_279_0,2011,Urban,3,India,14,Manipur,279,Ukhrul,,,
3_14_280_0,2011,Rural,3,India,14,Manipur,280,Chandel,56.1,2.4,18.1
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,57.40000000000001,2.6,18.3
3_14_280_0,2011,Urban,3,India,14,Manipur,280,Chandel,,,
3_15_281_0,2011,Rural,3,India,15,Mizoram,281,Mamit,50,1.3,49.3
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,55.40000000000001,1.3,50.3
3_15_281_0,2011,Urban,3,India,15,Mizoram,281,Mamit,,,
3_15_282_0,2011,Rural,3,India,15,Mizoram,282,Kolasib,47.8,1.6,55.8
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,64.3,1.4,53.8
3_15_282_0,2011,Urban,3,India,15,Mizoram,282,Kolasib,,,
3_15_283_0,2011,Rural,3,India,15,Mizoram,283,Aizawl,69.10000000000001,.6000000000000001,58.40000000000001
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,75,2.9,65.10000000000001
3_15_283_0,2011,Urban,3,India,15,Mizoram,283,Aizawl,,,
3_15_284_0,2011,Rural,3,India,15,Mizoram,284,Champhai,61.3,.7000000000000001,54.7
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,64,1,55.40000000000001
3_15_284_0,2011,Urban,3,India,15,Mizoram,284,Champhai,,,
3_15_285_0,2011,Rural,3,India,15,Mizoram,285,Serchhip,82.5,1.6,66.2
3_15_285_0,2011,Total,3,India,15,Mizoram,285,Serchhip,78.90000000000001,1.6,64.5
3_15_285_0,2011,Urban,3,India,15,Mizoram,285,Serchhip,,,
3_15_286_0,2011,Rural,3,India,15,Mizoram,286,Lunglei,45.7,.3,50.3
3_15_286_0,2011,Total,3,India,15,Mizoram,286,Lunglei,55.7,.2,59.3
3_15_286_0,2011,Urban,3,India,15,Mizoram,286,Lunglei,,,
3_15_287_0,2011,Rural,3,India,15,Mizoram,287,Lawngtlai,47.8,.7000000000000001,49.5
3_15_287_0,2011,Total,3,India,15,Mizoram,287,Lawngtlai,48.7,.7000000000000001,49.5
3_15_287_0,2011,Urban,3,India,15,Mizoram,287,Lawngtlai,,,
3_15_288_0,2011,Rural,3,India,15,Mizoram,288,Saiha,56.7,.6000000000000001,52.5
3_15_288_0,2011,Total,3,India,15,Mizoram,288,Saiha,63.3,.9,57.1
3_15_288_0,2011,Urban,3,India,15,Mizoram,288,Saiha,,,
3_16_289_0,2011,Rural,3,India,16,Tripura,289,West Tripura,50.6,1.6,49.40000000000001
3_16_289_0,2011,Total,3,India,16,Tripura,289,West Tripura,50.6,2.5,50
3_16_289_0,2011,Urban,3,India,16,Tripura,289,West Tripura,,,
3_16_290_0,2011,Rural,3,India,16,Tripura,290,South Tripura,40.40000000000001,2.3,47
3_16_290_0,2011,Total,3,India,16,Tripura,290,South Tripura,40.2,2.4,46.5
3_16_290_0,2011,Urban,3,India,16,Tripura,290,South Tripura,,,
3_16_291_0,2011,Rural,3,India,16,Tripura,291,Dhalai,43.2,1.4,37.8
3_16_291_0,2011,Total,3,India,16,Tripura,291,Dhalai,37.2,1.6,38
3_16_291_0,2011,Urban,3,India,16,Tripura,291,Dhalai,,,
3_16_292_0,2011,Rural,3,India,16,Tripura,292,North Tripura,52.5,1,33.5
3_16_292_0,2011,Total,3,India,16,Tripura,292,North Tripura,51.1,1.1,35.8
3_16_292_0,2011,Urban,3,India,16,Tripura,292,North Tripura,,,
3_17_293_0,2011,Rural,3,India,17,Meghalaya,293,West Garo Hills,27.8,3.1,24.9
3_17_293_0,2011,Total,3,India,17,Meghalaya,293,West Garo Hills,29.6,2.9,24.1
3_17_293_0,2011,Urban,3,India,17,Meghalaya,293,West Garo Hills,,,
3_17_294_0,2011,Rural,3,India,17,Meghalaya,294,East Garo Hills,24.9,3.4,19.4
3_17_294_0,2011,Total,3,India,17,Meghalaya,294,East Garo Hills,29.3,3.5,21.7
3_17_294_0,2011,Urban,3,India,17,Meghalaya,294,East Garo Hills,,,
3_17_295_0,2011,Rural,3,India,17,Meghalaya,295,South Garo Hills,26.2,4.600000000000001,20.7
3_17_295_0,2011,Total,3,India,17,Meghalaya,295,South Garo Hills,26.5,4.3,19.9
3_17_295_0,2011,Urban,3,India,17,Meghalaya,295,South Garo Hills,,,
3_17_296_0,2011,Rural,3,India,17,Meghalaya,296,West Khasi Hills,25.3,.1,5.5
3_17_296_0,2011,Total,3,India,17,Meghalaya,296,West Khasi Hills,27.6,.2,6.800000000000001
3_17_296_0,2011,Urban,3,India,17,Meghalaya,296,West Khasi Hills,,,
3_17_297_0,2011,Rural,3,India,17,Meghalaya,297,Ribhoi,47.3,.8,14.9
3_17_297_0,2011,Total,3,India,17,Meghalaya,297,Ribhoi,49.40000000000001,.8,14.9
3_17_297_0,2011,Urban,3,India,17,Meghalaya,297,Ribhoi,,,
3_17_298_0,2011,Rural,3,India,17,Meghalaya,298,East Khasi Hills,60.40000000000001,1.8,15.3
3_17_298_0,2011,Total,3,India,17,Meghalaya,298,East Khasi Hills,64.2,3,24
3_17_298_0,2011,Urban,3,India,17,Meghalaya,298,East Khasi Hills,,,
3_17_299_0,2011,Rural,3,India,17,Meghalaya,299,Jaintia Hills,45.2,.1,11.2
3_17_299_0,2011,Total,3,India,17,Meghalaya,299,Jaintia Hills,46.8,.3,11.4
3_17_299_0,2011,Urban,3,India,17,Meghalaya,299,Jaintia Hills,,,
3_18_300_0,2011,Rural,3,India,18,Assam,300,Kokrajhar,25.4,2.7,28.7
3_18_300_0,2011,Total,3,India,18,Assam,300,Kokrajhar,27.2,3.4,30.2
3_18_300_0,2011,Urban,3,India,18,Assam,300,Kokrajhar,,,
3_18_301_0,2011,Rural,3,India,18,Assam,301,Dhubri,19.1,1.1,23.2
3_18_301_0,2011,Total,3,India,18,Assam,301,Dhubri,20.7,1.8,23.6
3_18_301_0,2011,Urban,3,India,18,Assam,301,Dhubri,,,
3_18_302_0,2011,Rural,3,India,18,Assam,302,Goalpara,33.3,.3,29.9
3_18_302_0,2011,Total,3,India,18,Assam,302,Goalpara,33.5,.5,31.1
3_18_302_0,2011,Urban,3,India,18,Assam,302,Goalpara,,,
3_18_303_0,2011,Rural,3,India,18,Assam,303,Barpeta,48.2,1.5,27.4
