id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_intt_t,hh_intt_slm,ictc_inf_man,ictc_inf_ser
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,.3,,0,0
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,.3,,0,.2
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,1.8,.5,0,1.9
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,.3,,0,0
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,.5,,.2,1.7
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,2.5,1.5,3.2,3.2
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,.5,,0,0
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,.8,,0,0
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,3.2,1.7,0,0
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,.7000000000000001,,0,.1
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,1.1,,0,.1
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,4.4,2.7,0,1
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,.8,,0,0
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,.9,,0,.4
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,2.6,.9,0,3.6
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,.6000000000000001,,0,0
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,.7000000000000001,,0,1.3
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,3,,0,6.5
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,.5,,0,0
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,.7000000000000001,,0,.1
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,2.5,1.1,0,1
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,.6000000000000001,,0,0
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,.8,,0,.1
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,2.6,2.4,0,1.4
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,.5,,0,.1
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,.6000000000000001,,0,.2
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,3.1,1.4,0,.6000000000000001
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,.5,,0,0
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,.8,,0,.3
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,2.1,4.100000000000001,0,2
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,.4,,.1,.3
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,.5,,.1,.4
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,2.1,,0,.5
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,.6000000000000001,,0,0
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,1.2,,0,.3
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,3.7,5,0,1.3
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,.4,,0,0
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,.4,,0,0
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,1.5,.5,0,.4
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,.6000000000000001,,0,0
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,1,,0,2.3
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,2.1,2.4,0,5.2
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,.6000000000000001,,0,0
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,.7000000000000001,,0,.2
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,1.2,0,0,.8
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,.5,,0,0
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,.6000000000000001,,0,.1
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,1.3,,0,.3
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,.6000000000000001,,0,0
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,.9,,0,1.1
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,2.1,.8,0,2.7
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,.9,,0,.1
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,4.3,,.7000000000000001,2.8
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,8.700000000000001,4.800000000000001,1.1,3.8
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,.6000000000000001,,0,.1
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,.9,,0,2.5
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,2.6,1.5,0,6.9
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,.6000000000000001,,0,.1
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,.7000000000000001,,0,.2
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,1.8,1.3,0,.6000000000000001
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),.8,,0,0
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),.9,,0,.1
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),2.4,.2,0,1.2
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,.8,,0,0
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,1,,.4,.9
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,2.4,3.3,2.6,3.1
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,.5,,0,0
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,.6000000000000001,,0,0
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,1.9,.7000000000000001,0,0
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,.5,,0,0
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,1,,2.5,4.5
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,4.3,1.7,11.2,26.8
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,.4,,0,.3
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,.5,,0,.3
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,1.9,,0,.3
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,.5,,0,0
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,.6000000000000001,,0,.2
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,2.3,,0,2.1
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,.4,,0,0
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,.6000000000000001,,0,0
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,1.9,.4,0,0
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,.3,,0,.1
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,.4,,0,.1
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,.4,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,.7000000000000001,,0,0
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,1.3,,0,0
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,6.100000000000001,0,,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,.9,,0,3.1
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,1,,0,3.2
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,5,6.2,0,3.3
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,1.2,,0,0
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,2,,15.3,1.5
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,6.2,11.7,50,4.2
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,1.6,,.9,1.8
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,5.4,,.6000000000000001,3.2
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,9.700000000000001,7.5,0,4.4
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,.6000000000000001,,,0
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,1,,0,0
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,3,,0,0
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,.6000000000000001,,0,0
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,1.2,,0,6.4
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,3.3,,0,17
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,.1,,0,.5
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,.4,,0,1.7
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,1.2,0,0,3.3
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,3.8,,0,1.5
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,3.8,,0,1.5
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,7.4,,0,1.6
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,7.4,,0,1.6
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,9.9,,0,1.7
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,9.9,,0,1.7
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,.4,,0,0
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,.9,,0,7.2
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,3.6,,0,15
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,.6000000000000001,,0,.9
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,.6000000000000001,,0,.9
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,1.5,,0,.2
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,1.5,,0,.2
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,4.100000000000001,1.6,0,0
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,4.100000000000001,1.6,0,0
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,1.6,,0,4
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,1.6,,0,4
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,2.4,,0,2.4
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,2.4,,0,2.4
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,4,10.8,0,0
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,4,10.8,0,0
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,.3,,,0
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,1.3,,,0
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,5.2,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,.3,,.3,2.7
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,.6000000000000001,,.3,4
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,2.6,,,18.2
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,.2,,0,0
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,.5,,0,0
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,1.8,,,0
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,2,,0,0
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,2.5,,0,.7000000000000001
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,4.600000000000001,,0,2.2
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,.4,,0,0
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,.6000000000000001,,0,0
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,5.300000000000001,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,.5,,,0
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,.9,,,0
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,1.7,,,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,1.3,,0,0
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,1.3,,0,0
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,1.9,,0,.7000000000000001
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,1.9,,0,.7000000000000001
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,4.3,,0,1.5
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4.3,,0,1.5
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,.4,,26.6,1.3
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,.4,,26.6,1.3
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,1.1,,24.7,2.7
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,1.1,,24.7,2.7
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,3.3,1.9,20,7
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,3.3,1.9,20,7
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,.7000000000000001,,0,0
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,.7000000000000001,,0,0
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,.6000000000000001,,0,0
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,.6000000000000001,,0,0
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,0,,,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,0,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,.2,,0,1.4
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,.4,,0,1.5
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,1.9,2.4,0,1.9
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,.5,,0,.3
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,1.3,,0,.7000000000000001
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,3,2.4,0,1.9
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,.5,,0,2.8
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,.9,,0,2.7
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,2.5,2.6,0,2.2
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,.4,,0,.9
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,.6000000000000001,,0,2.9
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,1.6,2,0,5.7
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,2.6,,0,1.9
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,4.3,,0,4.3
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,5.800000000000001,4.3,0,5.5
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,.3,,0,.7000000000000001
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,.4,,0,1.5
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,1.2,1.3,0,3.6
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,.2,,0,3.1
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,.4,,0,3.4
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,1.4,,0,4.3
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,.1,,0,.3
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,.3,,0,.3
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,1.5,,,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,.1,,0,2.9
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,.3,,0,2.9
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,.9,,,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,.9,,0,3.4
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,3.7,,1.8,2.9
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,6.5,3.6,7.100000000000001,2.4
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,.3,,0,.1
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,.6000000000000001,,0,.1
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,2.4,,,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,.7000000000000001,,0,0
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,.7000000000000001,,0,0
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,2.5,,,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,.3,,0,0
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,.5,,0,0
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,1.7,,,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,1.4,,5.300000000000001,1.8
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,1.7,,5.300000000000001,1.8
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,5.5,,,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,1,,0,.1
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,1.5,,0,.1
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,2.3,,0,0
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,.9,,0,.1
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,1,,0,1
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,1.3,,0,1.6
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,2.2,,0,.3
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,4.4,,0,1.2
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,5.7,,0,1.4
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,1.5,,0,8.800000000000001
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,3,,0,6.9
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,5.2,,0,0
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,.6000000000000001,,0,0
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,.8,,0,0
3_14_279_0,2011,Urban,3,India,14,Manipur,279,Ukhrul,1.7,,,
3_14_280_0,2011,Rural,3,India,14,Manipur,280,Chandel,.5,,0,0
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,.6000000000000001,,0,0
3_14_280_0,2011,Urban,3,India,14,Manipur,280,Chandel,1.5,,0,0
3_15_281_0,2011,Rural,3,India,15,Mizoram,281,Mamit,.4,,0,1.2
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,.5,,0,.9
3_15_281_0,2011,Urban,3,India,15,Mizoram,281,Mamit,1.1,,0,0
3_15_282_0,2011,Rural,3,India,15,Mizoram,282,Kolasib,.5,,3.3,1.4
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,2.1,,2.6,5.100000000000001
3_15_282_0,2011,Urban,3,India,15,Mizoram,282,Kolasib,3.4,,0,7.5
3_15_283_0,2011,Rural,3,India,15,Mizoram,283,Aizawl,.6000000000000001,,0,0
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,4.9,,0,7.100000000000001
3_15_283_0,2011,Urban,3,India,15,Mizoram,283,Aizawl,6.100000000000001,2.8,0,8.5
3_15_284_0,2011,Rural,3,India,15,Mizoram,284,Champhai,.4,,0,.8
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,.7000000000000001,,0,2.6
3_15_284_0,2011,Urban,3,India,15,Mizoram,284,Champhai,1.3,,0,3.8
3_15_285_0,2011,Rural,3,India,15,Mizoram,285,Serchhip,.8,,0,0
3_15_285_0,2011,Total,3,India,15,Mizoram,285,Serchhip,1,,0,0
3_15_285_0,2011,Urban,3,India,15,Mizoram,285,Serchhip,1.3,,0,0
3_15_286_0,2011,Rural,3,India,15,Mizoram,286,Lunglei,.3,,0,0
3_15_286_0,2011,Total,3,India,15,Mizoram,286,Lunglei,1.5,,0,2.7
3_15_286_0,2011,Urban,3,India,15,Mizoram,286,Lunglei,3.1,,0,4
3_15_287_0,2011,Rural,3,India,15,Mizoram,287,Lawngtlai,.4,,0,0
3_15_287_0,2011,Total,3,India,15,Mizoram,287,Lawngtlai,.7000000000000001,,0,0
3_15_287_0,2011,Urban,3,India,15,Mizoram,287,Lawngtlai,2.2,,,
3_15_288_0,2011,Rural,3,India,15,Mizoram,288,Saiha,.4,,0,0
3_15_288_0,2011,Total,3,India,15,Mizoram,288,Saiha,1.5,,0,5.100000000000001
3_15_288_0,2011,Urban,3,India,15,Mizoram,288,Saiha,3.1,,0,7.600000000000001
3_16_289_0,2011,Rural,3,India,16,Tripura,289,West Tripura,.5,,0,.1
3_16_289_0,2011,Total,3,India,16,Tripura,289,West Tripura,1.6,,.1,.3
3_16_289_0,2011,Urban,3,India,16,Tripura,289,West Tripura,3.1,1.4,.5,2.3
3_16_290_0,2011,Rural,3,India,16,Tripura,290,South Tripura,.3,,0,.3
3_16_290_0,2011,Total,3,India,16,Tripura,290,South Tripura,.5,,0,.2
3_16_290_0,2011,Urban,3,India,16,Tripura,290,South Tripura,1.4,1.3,0,0
3_16_291_0,2011,Rural,3,India,16,Tripura,291,Dhalai,.3,,.7000000000000001,0
3_16_291_0,2011,Total,3,India,16,Tripura,291,Dhalai,.3,,.9,0
3_16_291_0,2011,Urban,3,India,16,Tripura,291,Dhalai,.9,1,4.7,0
3_16_292_0,2011,Rural,3,India,16,Tripura,292,North Tripura,.4,,0,.4
3_16_292_0,2011,Total,3,India,16,Tripura,292,North Tripura,.7000000000000001,,0,.4
3_16_292_0,2011,Urban,3,India,16,Tripura,292,North Tripura,1.6,1.1,0,.2
3_17_293_0,2011,Rural,3,India,17,Meghalaya,293,West Garo Hills,.7000000000000001,,0,.1
3_17_293_0,2011,Total,3,India,17,Meghalaya,293,West Garo Hills,1.3,,0,.4
3_17_293_0,2011,Urban,3,India,17,Meghalaya,293,West Garo Hills,6.2,4.3,0,1.8
3_17_294_0,2011,Rural,3,India,17,Meghalaya,294,East Garo Hills,.3,,0,0
3_17_294_0,2011,Total,3,India,17,Meghalaya,294,East Garo Hills,.5,,0,.2
3_17_294_0,2011,Urban,3,India,17,Meghalaya,294,East Garo Hills,2.1,3,0,1.9
3_17_295_0,2011,Rural,3,India,17,Meghalaya,295,South Garo Hills,.5,,0,0
3_17_295_0,2011,Total,3,India,17,Meghalaya,295,South Garo Hills,.7000000000000001,,0,0
3_17_295_0,2011,Urban,3,India,17,Meghalaya,295,South Garo Hills,2.7,1.4,0,0
3_17_296_0,2011,Rural,3,India,17,Meghalaya,296,West Khasi Hills,.2,,0,0
3_17_296_0,2011,Total,3,India,17,Meghalaya,296,West Khasi Hills,.2,,0,0
3_17_296_0,2011,Urban,3,India,17,Meghalaya,296,West Khasi Hills,.8,1.6,0,0
3_17_297_0,2011,Rural,3,India,17,Meghalaya,297,Ribhoi,.6000000000000001,,0,1.6
