id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ppl_room_slm,ovr_crw_t,ovr_crw_slm
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,5.100000000000001,3.3,3.4,43.1,46.3
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,5,3.8,,55,
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,5,3.8,3.7,54.40000000000001,55.2
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,5.100000000000001,3.1,3.7,40.3,55.2
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,5.100000000000001,4,,59.7,
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,5.100000000000001,4,3.3,58.1,44.1
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,5.4,3.1,3.3,38.40000000000001,44.1
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,4.9,4.100000000000001,,59.6,
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,4.9,4,3.8,58.5,54.3
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,5.2,3.5,3.8,47.40000000000001,54.3
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,5,3.6,,49.90000000000001,
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,5.100000000000001,3.5,3.3,48.7,43.90000000000001
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,5.300000000000001,3,3.3,36.9,43.90000000000001
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,6.2,3.5,,47.8,
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,6.2,3.4,4.2,47.40000000000001,61.8
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,6.300000000000001,3.2,4.2,42.1,61.8
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,6.2,3.6,,50.3,
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,6.2,3.6,,49.7,
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,6.4,3.1,,38.8,
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,6.300000000000001,3.6,,50.40000000000001,
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,6.300000000000001,3.6,3.7,49.6,51.6
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,6.300000000000001,3.3,3.7,42.1,51.6
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,5.5,3.8,,55.8,
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,5.600000000000001,3.8,3.7,55.3,51.2
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,6.100000000000001,3.5,3.7,47.6,51.2
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,5.100000000000001,4.100000000000001,,59.3,
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,5.100000000000001,4,3.6,58.7,49.2
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,5.300000000000001,3.2,3.6,41.1,49.2
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,5,4.100000000000001,,59.5,
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,5,4.100000000000001,3.5,58.1,46.40000000000001
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,5.300000000000001,3.7,3.5,51.8,46.40000000000001
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,5.100000000000001,4.3,,62,
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,5.100000000000001,4.2,,61.40000000000001,
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,5.4,3.6,,49.6,
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,5.300000000000001,4,,58.6,
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,5.4,3.9,3.3,56.1,43.1
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,5.600000000000001,3.4,3.3,44.8,43.1
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,5.300000000000001,3.6,,51.7,
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,5.300000000000001,3.6,3.6,51.5,51.2
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,5.2,3.3,3.6,44.6,51.2
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,5.100000000000001,3.7,,53.7,
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,5.2,3.6,4.100000000000001,50.5,58.1
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,5.300000000000001,3.2,4.100000000000001,41.7,58.1
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,6.2,3.7,,51.8,
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,6.100000000000001,3.7,3.4,50.7,46.5
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,5.9,3.3,3.4,44.40000000000001,46.5
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,6.4,3.1,,39.1,
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,6.300000000000001,3.1,,39,
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,6.100000000000001,3.1,,38.3,
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,6,3,,36.6,
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,6,3,3.5,37,46.3
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,6,3.2,3.5,39.2,46.3
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,6.100000000000001,3.2,,40.5,
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,6,3,3.3,36.5,42.5
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,5.9,2.8,3.3,31.2,42.5
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,6.600000000000001,3,,36.1,
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,6.600000000000001,3,3.4,36.1,44.3
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,6.600000000000001,3,3.4,35.9,44.3
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,6.600000000000001,3,,36.8,
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,6.5,3,3.3,36.9,44.40000000000001
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,6.2,3.1,3.3,38.1,44.40000000000001
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),6.5,3,,36,
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),6.5,3,2.9,35.7,34.2
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),6.4,2.7,2.9,29.1,34.2
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,6.5,2.9,,32.9,
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,6.4,2.9,3.3,33.5,41.2
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,6.100000000000001,3,3.3,36.5,41.2
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,6.5,2.8,,31.9,
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,6.5,2.8,3,32.1,35.6
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,6.4,2.9,3,34.5,35.6
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,6.4,2.7,,29.9,
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,6.4,2.7,2.8,29.7,33
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,6.5,2.7,2.8,28.6,33
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,6.600000000000001,2.7,,29.4,
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,6.600000000000001,2.7,,29.8,
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,6.5,2.9,,33.9,
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,5.7,3.5,,47.7,
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,5.7,3.5,,47.5,
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,5.800000000000001,3.4,,44.7,
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,6.2,2.5,,26.7,
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,6.2,2.6,3,27.2,35.8
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,6.2,2.7,3,30.5,35.8
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,5.9,2.6,,27.5,
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,5.9,2.6,,27.5,
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,6.100000000000001,2.6,,27.4,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,4.600000000000001,2.3,,21.2,
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,4.5,2.3,3.3,22,40.40000000000001
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,4.2,2.6,3.3,28.2,40.40000000000001
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,4.9,2.3,,20.6,
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,4.800000000000001,2.3,2.5,20.8,25.9
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,4.600000000000001,2.5,2.5,26.7,25.9
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,4.800000000000001,2.1,,17.2,
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,4.7,2.1,2,17.4,16.9
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,4.3,2.1,2,18,16.9
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,4.600000000000001,2.2,,18.8,
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,4.4,2.2,2.5,19.9,26
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,4.100000000000001,2.3,2.5,21.1,26
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,4.4,2.6,,28.4,
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,4.800000000000001,2.5,,26.5,
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,6.600000000000001,2,,17.3,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,4.5,2.9,,35.9,
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,4.3,2.7,,31.7,
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,3.8,2.1,,18,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,5.5,4.4,,62.40000000000001,
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,5.300000000000001,3.9,2.3,52.7,20.2
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,5,2.4,2.3,22.2,20.2
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,5.4,3.2,,38.6,
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,5.4,3.2,,38.6,
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,4.800000000000001,2.6,,26.9,
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,4.800000000000001,2.6,,26.9,
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,4.4,2.2,,18.9,
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,4.4,2.2,,18.9,
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,5.300000000000001,4,,57.5,
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,5.300000000000001,3.7,,51.6,
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,5.100000000000001,2.3,,22,
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,5.4,3.5,,45.6,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,5.4,3.5,,45.6,
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,5.2,3.2,2.5,38.8,27
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,5.2,3.2,2.5,38.8,27
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,4.5,2.1,2.5,18.5,27
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,4.5,2.1,2.5,18.5,27
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,5.5,3.3,,43.1,
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,5.5,3.3,,43.1,
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,5.100000000000001,2.9,2.2,34.8,18.8
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,5.100000000000001,2.9,2.2,34.8,18.8
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,4.4,2.1,2.2,17.5,18.8
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,4.4,2.1,2.2,17.5,18.8
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,5,3.5,,44.7,
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,4.800000000000001,3.2,,40.2,
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,4,2.3,,23.5,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,5.100000000000001,2.6,,28.2,
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,4.9,2.5,,26.7,
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,3.9,2.1,,17.7,
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,5.600000000000001,2.6,,28.6,
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,5.300000000000001,2.5,,25.6,
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,4.4,1.9,,14.1,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,5.7,3.8,,50.5,
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,5.4,3.5,,44.5,
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,4.2,2.3,,20.7,
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,6.100000000000001,4.4,,68,
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,6.100000000000001,4.4,,66.8,
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,5,2.8,,33,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,4.2,2.5,,27.9,
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,4,2.4,,26.1,
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,3.5,2.2,,22.1,
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,4.7,3.1,,39,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4.7,3.1,,39,
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,4.5,2.9,,34.4,
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4.5,2.9,,34.4,
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,4,2.1,,16.9,
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,4,2.1,,16.9,
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,4.9,2.6,,28.1,
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,4.9,2.6,,28.1,
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,4.7,2.6,2.6,27.1,28.5
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,4.7,2.6,2.6,27.1,28.5
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,4.2,2.4,2.6,23.8,28.5
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,4.2,2.4,2.6,23.8,28.5
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,4.3,2.5,,26.5,
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,4.3,2.5,,26.5,
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,4.3,2.5,,26.4,
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,4.3,2.5,,26.4,
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,4,2,,23.3,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,4,2,,23.3,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,6,3.3,,41.90000000000001,
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,5.9,3.1,2.2,38.90000000000001,16.6
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,5.5,2.3,2.2,19.5,16.6
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,4.600000000000001,2.1,,16.2,
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,4.5,2,1.7,14.7,7.600000000000001
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,4.2,1.8,1.7,10.9,7.600000000000001
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,4.9,2.9,,36,
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,5,2.9,3.1,35.8,39.6
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,5.600000000000001,2.9,3.1,34.8,39.6
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,5.100000000000001,2.3,,21.4,
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,5.2,2.3,2.3,20.2,19.3
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,5.5,2.1,2.3,14.9,19.3
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,4.800000000000001,2.1,,16.7,
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,4.7,2.2,2.7,18.1,30.5
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,4.5,2.2,2.7,19.3,30.5
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,4.4,2.2,,18.3,
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,4.4,2.1,1.9,17.6,9.9
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,4.600000000000001,1.9,1.9,13,9.9
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,5.4,3.6,,50.90000000000001,
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,5.300000000000001,3.4,,46.7,
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,5.2,2.6,,27,
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,4.2,2.7,,29.3,
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,4.2,2.6,,28,
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,4.5,2.2,,20.2,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,4.9,3,,38.40000000000001,
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,5,2.9,,36.4,
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,5.300000000000001,2.6,,28,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,5.100000000000001,2.3,,21.8,
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,4.800000000000001,2.2,2.4,19,23.2
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,4.5,2.1,2.4,16.2,23.2
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,5.100000000000001,2.6,,28.3,
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,5.100000000000001,2.5,,25.9,
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,4.800000000000001,1.9,,12.6,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,5.7,2.2,,17.9,
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,5.7,2.2,,17.7,
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,5.2,2,,12.4,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,5.600000000000001,2.5,,23.7,
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,5.600000000000001,2.4,,22.7,
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,5.5,2.2,,16.5,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,5.5,2.7,,29.5,
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,5.5,2.7,,28.5,
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,5.5,2,,14.7,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,5.100000000000001,2.1,,13.9,
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,5.100000000000001,2,,13.3,
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,5,2,,12.2,
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,4.9,2.2,,17.6,
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,4.9,2.2,,17.1,
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,4.800000000000001,2.2,,16.3,
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,4.7,1.9,,10.8,
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,4.600000000000001,1.9,,11.3,
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,4.600000000000001,1.9,,11.7,
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,5,2.2,,16.6,
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,4.9,2.1,,15.4,
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,4.800000000000001,2,,13.7,
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,5.100000000000001,2.6,,27,
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,5.100000000000001,2.6,,26.9,
3_14_279_0,2011,Urban,3,India,14,Manipur,279,Ukhrul,5.100000000000001,2.6,,26.5,
3_14_280_0,2011,Rural,3,India,14,Manipur,280,Chandel,4.800000000000001,2.2,,16.6,
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,4.800000000000001,2.3,,18,
3_14_280_0,2011,Urban,3,India,14,Manipur,280,Chandel,5.100000000000001,2.6,,28.6,
3_15_281_0,2011,Rural,3,India,15,Mizoram,281,Mamit,4.9,3.1,,38.5,
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,4.800000000000001,2.9,,34.9,
3_15_281_0,2011,Urban,3,India,15,Mizoram,281,Mamit,4.600000000000001,2.2,,18.8,
3_15_282_0,2011,Rural,3,India,15,Mizoram,282,Kolasib,4.9,2.9,,35.2,
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,4.800000000000001,2.6,,28.3,
3_15_282_0,2011,Urban,3,India,15,Mizoram,282,Kolasib,4.7,2.4,,22.8,
3_15_283_0,2011,Rural,3,India,15,Mizoram,283,Aizawl,4.9,2.4,,23.7,
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,4.800000000000001,2.1,2.2,17.3,18.4
3_15_283_0,2011,Urban,3,India,15,Mizoram,283,Aizawl,4.800000000000001,2.1,2.2,15.6,18.4
3_15_284_0,2011,Rural,3,India,15,Mizoram,284,Champhai,5,2.9,,35.4,
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,4.9,2.7,,32,
3_15_284_0,2011,Urban,3,India,15,Mizoram,284,Champhai,4.800000000000001,2.5,,26.7,
