id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area_lit,pop_lit,dens_lit
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,643,94.7,.15
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,709,119,167
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,66.10000000000001,23.8,359
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,827,150,.18
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,954,324,339
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,127,174,1364
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,2173,46,.02
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,2173,46,21.2
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,0,0,
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,4962,71,.01
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,4962,71,14.3
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,0,0,
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,6500,84.7,.01
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,6500,84.7,13
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,0,0,
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,3244,66.40000000000001,.02
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,3244,66.40000000000001,.02
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,3353,110,32.8
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,3353,110,32.8
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,108,43.7,403
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,108,43.7,403
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,6736,61.5,.01
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,6736,61.5,9.1
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,0,0,
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,8361,130,.02
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,8361,130,.02
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,8361,130,15.5
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,8361,130,15.5
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,0,0,
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,0,0,
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,3789,118,.03
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,3789,118,.03
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,3789,118,31
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,3789,118,31
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,0,0,
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,0,0,
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,6615,37.3,.01
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,6615,37.3,5.600000000000001
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,0,0,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,4952,143,.03
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,5024,162,32.2
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,71.3,18.5,260
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,2019,111,.05
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,2019,111,55
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,0,0,
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,2705,93.40000000000001,.03
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,2712,93.60000000000001,34.5
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,6.4,.17,26.3
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,7083,53.40000000000001,.01
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,7083,53.40000000000001,7.5
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,0,0,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,9325,18.6,0
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,9325,18.6,2
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,0,0,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3681,68.7,.02
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,3681,68.7,.02
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3681,68.7,18.7
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,3681,68.7,18.7
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,0,0,
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,0,0,
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,4122,160,.04
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,4122,160,.04
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,4147,164,39.6
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,4147,164,39.6
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,24.4,4.4,179
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,24.4,4.4,179
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,6130,51.5,.01
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,6130,51.5,.01
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,6130,51.5,8.4
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,6130,51.5,8.4
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,0,0,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,0,0,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,2195,287,.13
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,2195,287,131
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,0,0,
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,1589,225,.14
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,1607,265,165
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,17.7,40.3,2282
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,1537,190,.12
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,1537,190,124
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,0,0,
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,1570,167,.11
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,1570,167,106
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,0,0,
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,761,117,.15
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,876,386,441
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,114,269,2353
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,1861,154,.08
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,1861,154,82.80000000000001
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,0,0,
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,2234,290,.13
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,2234,290,130
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,0,0,
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,565,92.90000000000001,.16
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,565,92.90000000000001,164
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,0,0,
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,1107,48,.04
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,1107,48,43.40000000000001
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,0,0,
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,1349,115,.09
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,1400,234,167
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,51.7,119,2298
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,1645,49,.03
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,1645,49,29.8
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,0,0,
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,3523,294,.08
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,3534,296,83.80000000000001
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,10.2,1.7,166
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,4111,124,.03
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,4111,124,30.1
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,0,0,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,4775,232,.05
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,4789,239,50
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,13.3,6.800000000000001,513
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,416,234,.5600000000000001
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,416,234,564
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,0,0,
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,633,455,.72
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,638,465,729
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,5.5,10,1826
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,412,375,.91
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,501,580,1157
3_14_277_0,2011,Urban,3,India,14,Manipur,277,Imphal West,89.30000000000001,205,2296
3_14_278_0,2011,Rural,3,India,14,Manipur,278,Imphal East,543,322,.59
3_14_278_0,2011,Total,3,India,14,Manipur,278,Imphal East,580,444,765
3_14_278_0,2011,Urban,3,India,14,Manipur,278,Imphal East,37.7,122,3249
3_14_279_0,2011,Rural,3,India,14,Manipur,279,Ukhrul,4484,163,.04
3_14_279_0,2011,Total,3,India,14,Manipur,279,Ukhrul,4484,163,36.5
3_14_279_0,2011,Urban,3,India,14,Manipur,279,Ukhrul,0,0,
3_14_280_0,2011,Rural,3,India,14,Manipur,280,Chandel,3262,89.30000000000001,.03
3_14_280_0,2011,Total,3,India,14,Manipur,280,Chandel,3262,89.30000000000001,27.4
3_14_280_0,2011,Urban,3,India,14,Manipur,280,Chandel,0,0,
3_15_281_0,2011,Rural,3,India,15,Mizoram,281,Mamit,2963,77,.03
3_15_281_0,2011,Total,3,India,15,Mizoram,281,Mamit,2963,77,26
3_15_281_0,2011,Urban,3,India,15,Mizoram,281,Mamit,0,0,
3_15_282_0,2011,Rural,3,India,15,Mizoram,282,Kolasib,1577,55.90000000000001,.04
3_15_282_0,2011,Total,3,India,15,Mizoram,282,Kolasib,1586,56.1,35.4
3_15_282_0,2011,Urban,3,India,15,Mizoram,282,Kolasib,8.6,.22,25
3_15_283_0,2011,Rural,3,India,15,Mizoram,283,Aizawl,3082,104,.03
3_15_283_0,2011,Total,3,India,15,Mizoram,283,Aizawl,3174,391,123
3_15_283_0,2011,Urban,3,India,15,Mizoram,283,Aizawl,91.7,287,3126
3_15_284_0,2011,Rural,3,India,15,Mizoram,284,Champhai,3494,138,.04
3_15_284_0,2011,Total,3,India,15,Mizoram,284,Champhai,3497,138,39.40000000000001
3_15_284_0,2011,Urban,3,India,15,Mizoram,284,Champhai,2.4,.06,24.6
3_15_285_0,2011,Rural,3,India,15,Mizoram,285,Serchhip,1318,50.1,.04
3_15_285_0,2011,Total,3,India,15,Mizoram,285,Serchhip,1318,50.1,38
3_15_285_0,2011,Urban,3,India,15,Mizoram,285,Serchhip,0,0,
3_15_286_0,2011,Rural,3,India,15,Mizoram,286,Lunglei,4516,158,.04
3_15_286_0,2011,Total,3,India,15,Mizoram,286,Lunglei,4520,158,35
3_15_286_0,2011,Urban,3,India,15,Mizoram,286,Lunglei,3.9,.14,36.5
3_15_287_0,2011,Rural,3,India,15,Mizoram,287,Lawngtlai,2350,88.60000000000001,.04
3_15_287_0,2011,Total,3,India,15,Mizoram,287,Lawngtlai,2350,88.60000000000001,37.7
3_15_287_0,2011,Urban,3,India,15,Mizoram,287,Lawngtlai,0,0,
3_15_288_0,2011,Rural,3,India,15,Mizoram,288,Saiha,1477,52.1,.04
3_15_288_0,2011,Total,3,India,15,Mizoram,288,Saiha,1477,52.1,35.3
3_15_288_0,2011,Urban,3,India,15,Mizoram,288,Saiha,0,0,
3_16_289_0,2011,Rural,3,India,16,Tripura,289,West Tripura,2515,937,.37
3_16_289_0,2011,Total,3,India,16,Tripura,289,West Tripura,2973,1917,645
3_16_289_0,2011,Urban,3,India,16,Tripura,289,West Tripura,458,980,2141
3_16_290_0,2011,Rural,3,India,16,Tripura,290,South Tripura,3010,641,.21
3_16_290_0,2011,Total,3,India,16,Tripura,290,South Tripura,3119,1004,322
3_16_290_0,2011,Urban,3,India,16,Tripura,290,South Tripura,109,362,3326
3_16_291_0,2011,Rural,3,India,16,Tripura,291,Dhalai,2250,245,.11
3_16_291_0,2011,Total,3,India,16,Tripura,291,Dhalai,2281,283,124
3_16_291_0,2011,Urban,3,India,16,Tripura,291,Dhalai,30.4,37.3,1224
3_16_292_0,2011,Rural,3,India,16,Tripura,292,North Tripura,1994,375,.19
3_16_292_0,2011,Total,3,India,16,Tripura,292,North Tripura,2067,546,264
3_16_292_0,2011,Urban,3,India,16,Tripura,292,North Tripura,72.60000000000001,171,2353
3_17_293_0,2011,Rural,3,India,17,Meghalaya,293,West Garo Hills,3390,525,.15
3_17_293_0,2011,Total,3,India,17,Meghalaya,293,West Garo Hills,3444,582,169
3_17_293_0,2011,Urban,3,India,17,Meghalaya,293,West Garo Hills,54.90000000000001,57.90000000000001,1054
3_17_294_0,2011,Rural,3,India,17,Meghalaya,294,East Garo Hills,2731,165,.06
3_17_294_0,2011,Total,3,India,17,Meghalaya,294,East Garo Hills,2756,180,65.40000000000001
3_17_294_0,2011,Urban,3,India,17,Meghalaya,294,East Garo Hills,24.7,15.1,611
3_17_295_0,2011,Rural,3,India,17,Meghalaya,295,South Garo Hills,1971,151,.08
3_17_295_0,2011,Total,3,India,17,Meghalaya,295,South Garo Hills,1971,151,76.7
3_17_295_0,2011,Urban,3,India,17,Meghalaya,295,South Garo Hills,.77,.01,19.4
3_17_296_0,2011,Rural,3,India,17,Meghalaya,296,West Khasi Hills,5110,332,.07
3_17_296_0,2011,Total,3,India,17,Meghalaya,296,West Khasi Hills,5121,340,66.5
3_17_296_0,2011,Urban,3,India,17,Meghalaya,296,West Khasi Hills,10.8,8.200000000000001,754
3_17_297_0,2011,Rural,3,India,17,Meghalaya,297,Ribhoi,2289,137,.06
3_17_297_0,2011,Total,3,India,17,Meghalaya,297,Ribhoi,2434,188,77.10000000000001
3_17_297_0,2011,Urban,3,India,17,Meghalaya,297,Ribhoi,145,50.40000000000001,348
3_17_298_0,2011,Rural,3,India,17,Meghalaya,298,East Khasi Hills,2665,333,.12
3_17_298_0,2011,Total,3,India,17,Meghalaya,298,East Khasi Hills,2838,656,231
3_17_298_0,2011,Urban,3,India,17,Meghalaya,298,East Khasi Hills,173,323,1867
3_17_299_0,2011,Rural,3,India,17,Meghalaya,299,Jaintia Hills,3695,298,.08
3_17_299_0,2011,Total,3,India,17,Meghalaya,299,Jaintia Hills,3793,339,89.5
3_17_299_0,2011,Urban,3,India,17,Meghalaya,299,Jaintia Hills,97.60000000000001,41.40000000000001,424
3_18_300_0,2011,Rural,3,India,18,Assam,300,Kokrajhar,3061,1227,.4
3_18_300_0,2011,Total,3,India,18,Assam,300,Kokrajhar,3147,1363,433
3_18_300_0,2011,Urban,3,India,18,Assam,300,Kokrajhar,86.60000000000001,136,1572
3_18_301_0,2011,Rural,3,India,18,Assam,301,Dhubri,2134,1348,.63
3_18_301_0,2011,Total,3,India,18,Assam,301,Dhubri,2164,1453,672
3_18_301_0,2011,Urban,3,India,18,Assam,301,Dhubri,30,105,3504
3_18_302_0,2011,Rural,3,India,18,Assam,302,Goalpara,1957,622,.32
3_18_302_0,2011,Total,3,India,18,Assam,302,Goalpara,1994,671,336
