id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,pc_exp,pov_nl,exp_sh_b40,pc_exp_r9010,pc_exp_gini,pc_exp_mld
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,27.1,30.5,26.6,2.5,20.8,.067
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,19.3,39.40000000000001,28,2.5,19.9,.065
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,19.7,39.6,27.5,2.5,20.8,.071
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,27.5,43.2,20.4,4.2,32.9,.17
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,22.2,27.8,26.6,2.4,20.8,.071
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,22.7,29.5,25.7,2.4,22.5,.085
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,29.5,52.2,19.5,2.8,39.7,.268
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,31.3,12.8,23.4,4.7,27.3,.119
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,31,14.7,22.5,4.7,27.7,.123
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,22.1,59,25.2,2.8,25.2,.102
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,20.9,45,26.9,2.5,21.1,.069
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,21.4,44.1,26.7,2.5,21.7,.074
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,40.1,9.4,22.5,3.6,26.5,.121
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,22.2,15.1,31.1,1.9,14.7,.037
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,22.6,16,30.3,1.9,15.7,.042
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,30.9,33.4,22.8,3.2,28.1,.133
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,23.8,14,30.7,2.8,15.2,.049
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,24,14.7,30.5,2.8,15.6,.05
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,28.1,25.9,29.3,1.8,20.4,.073
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,19.4,30,31.5,1.5,14.8,.046
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,20.1,31.8,30.9,1.9,16,.049
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,24.8,44.1,27.1,2.4,20.9,.07
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,18.3,38.7,28.4,3,17.3,.054
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,18.6,39,28.2,3.1,17.7,.056
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,23.6,47.5,25.8,2.7,24.2,.096
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,17.5,62.6,28.9,2.3,19.2,.059
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,18.7,61.2,26.8,2.7,22.5,.081
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,23.5,55.40000000000001,21,4.2,32.6,.171
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,19.7,32.2,27.9,3.1,17.9,.06
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,20.8,29.6,27.6,3.1,18.1,.061
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,27.9,13.1,29.8,2.1,16.7,.051
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,19.3,30,31.1,2.1,15.6,.046
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,19.7,32.2,30.6,2.1,16.1,.048
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,22.3,45.7,29.9,1.8,18,.057
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,19.3,54.1,24.3,2.7,25.9,.106
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,20,56.5,24.2,2.7,25.5,.101
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,22.1,63.7,25.9,2.5,23.5,.088
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,17.3,54.40000000000001,29,2.2,18.2,.056
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,25.6,37.4,21.6,3.2,28.4,.128
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,36.8,14.3,24,3.1,27.4,.126
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,16.8,56.3,25,2.5,23.2,.089
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,17.8,57.40000000000001,24.9,2.7,23.4,.089
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,22,61.8,26.5,2.7,23.1,.085
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,19.5,42.5,26.4,2.9,21.8,.076
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,19.5,44,26.4,2.9,22.3,.08
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,18.3,69.40000000000001,25.4,2.5,26.5,.122
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),20.2,30.4,28.9,2.1,17.6,.051
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),20.5,29.9,29.7,2.1,18.1,.055
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),33.9,9.5,24.9,2.1,28.9,.151
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,17.7,56.6,28.5,2.1,18.6,.055
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,18.6,54.40000000000001,28.4,2.6,19.9,.063
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,29.6,26.3,24.2,3.7,21.8,.092
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,18.7,29.9,31.3,2,14.5,.037
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,19.1,29.9,30.7,2,15.1,.04
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,26.6,30.4,25.8,2.8,21.8,.074
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,21.5,24.4,28.9,2.1,16.4,.042
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,22.1,24.6,28.3,2.1,16.9,.046
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,26.7,26,27.6,2.9,20.1,.067
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,21,20.1,29.7,2.4,15.6,.043
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,21.4,18.9,29.5,2.4,15.5,.043
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,26.6,3.5,31.7,1.6,14,.038
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,18.1,60.8,27.7,2.7,20.7,.068
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,18.4,59.5,27.2,2.7,20.8,.068
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,26,29.8,29.6,1.8,17.1,.051
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,19.9,37.8,27.5,2.2,18.2,.056
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,20.7,37.3,27.1,2.2,19,.061
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,27.5,33.3,26.9,2.4,24.2,.098
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,21,31.8,29.8,1.8,18.5,.068
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,21,31.8,29.8,1.8,18.5,.068
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,,,,,,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,32.1,13.4,27.5,2.6,20.9,.073
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,33.9,12.5,26.6,2.7,21.2,.074
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,54.5,2.1,27.8,2.3,19.5,.062
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,30.3,9.600000000000001,29.7,1.9,17.4,.049
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,30.7,9.600000000000001,29.4,2,17.7,.051
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,49.7,8.5,23.5,3.4,28.7,.13
3_11_243_0,2011,Rural,3,India,11,Sikkim,243,South District,28.4,11.7,30.3,2,15.8,.04
3_11_243_0,2011,Total,3,India,11,Sikkim,243,South District,30.2,11.6,28.8,2.1,17.1,.048
3_11_243_0,2011,Urban,3,India,11,Sikkim,243,South District,47.7,11.5,26.1,3.5,24.4,.099
3_11_244_0,2011,Rural,3,India,11,Sikkim,244,East District,33.6,7.5,26,2.4,23.2,.085
3_11_244_0,2011,Total,3,India,11,Sikkim,244,East District,41,5.7,23.4,2.5,22.7,.081
3_11_244_0,2011,Urban,3,India,11,Sikkim,244,East District,55.5,2.1,28.9,2.2,18.3,.056
3_12_245_1,2011,Rural,3,India,12,India/China  1,245,Tawang,51.40000000000001,3.5,19.5,5.4,34.4,.203
3_12_245_1,2011,Total,3,India,12,India/China  1,245,Tawang,51,4.100000000000001,20.7,5.300000000000001,33,.184
3_12_245_1,2011,Urban,3,India,12,India/China  1,245,Tawang,49.7,6.600000000000001,25.9,2.6,23.9,.099
3_12_246_1,2011,Rural,3,India,12,India/China  1,246,West Kameng,52.90000000000001,0,27.9,2.2,20.8,.073
3_12_246_1,2011,Total,3,India,12,India/China  1,246,West Kameng,54.2,0,28,2.3,21.2,.075
3_12_246_1,2011,Urban,3,India,12,India/China  1,246,West Kameng,63.40000000000001,0,27.2,2.7,23,.084
3_12_247_1,2011,Rural,3,India,12,India/China  1,247,East Kameng,32.9,40.1,16.8,5.7,32.8,.196
3_12_247_1,2011,Total,3,India,12,India/China  1,247,East Kameng,34.7,38.8,16.1,5.9,34.1,.214
3_12_247_1,2011,Urban,3,India,12,India/China  1,247,East Kameng,42.90000000000001,33.2,13.6,9.300000000000001,38.40000000000001,.29
3_12_248_1,2011,Rural,3,India,12,India/China  1,248,Papum Pare,52.5,2.9,26,3,22.8,.087
3_12_248_0,2011,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,52.5,2.9,26,3,22.8,.087
3_12_248_1,2011,Total,3,India,12,India/China  1,248,Papum Pare,62.7,2.2,23.4,3.2,25.8,.109
3_12_248_0,2011,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,62.7,2.2,23.4,3.2,25.8,.109
3_12_248_1,2011,Urban,3,India,12,India/China  1,248,Papum Pare,75.60000000000001,1.2,23.2,3.5,27.2,.121
3_12_248_0,2011,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,75.60000000000001,1.2,23.2,3.5,27.2,.121
3_12_249_1,2011,Rural,3,India,12,India/China  1,249,Upper Subansiri,40.2,21.1,20.5,4.2,34,.187
3_12_249_1,2011,Total,3,India,12,India/China  1,249,Upper Subansiri,43.40000000000001,19.9,20.1,4.600000000000001,33.6,.182
3_12_249_1,2011,Urban,3,India,12,India/China  1,249,Upper Subansiri,54,15.8,21.4,4.7,30.7,.156
3_12_250_0,2011,Rural,3,India,12,Arunachal Pradesh,250,West Siang,20.8,59.3,25.3,3.1,24.5,.096
3_12_250_1,2011,Rural,3,India,12,India/China  1,250,West Siang,20.8,59.3,25.3,3.1,24.5,.096
3_12_250_0,2011,Total,3,India,12,Arunachal Pradesh,250,West Siang,24.4,53,22.4,3.4,28.9,.136
3_12_250_1,2011,Total,3,India,12,India/China  1,250,West Siang,24.4,53,22.4,3.4,28.9,.136
3_12_250_0,2011,Urban,3,India,12,Arunachal Pradesh,250,West Siang,32.7,38.3,19.9,4.5,33.3,.191
3_12_250_1,2011,Urban,3,India,12,India/China  1,250,West Siang,32.7,38.3,19.9,4.5,33.3,.191
3_12_251_1,2011,Rural,3,India,12,India/China  1,251,East Siang,32.6,21.5,23,3.3,25.9,.109
3_12_251_0,2011,Rural,3,India,12,Arunachal Pradesh,251,East Siang,32.6,21.5,23,3.3,25.9,.109
3_12_251_0,2011,Total,3,India,12,Arunachal Pradesh,251,East Siang,35.5,17.4,22.7,3.4,24.5,.1
3_12_251_1,2011,Total,3,India,12,India/China  1,251,East Siang,35.5,17.4,22.7,3.4,24.5,.1
3_12_251_0,2011,Urban,3,India,12,Arunachal Pradesh,251,East Siang,46.8,1.6,30,1.9,15.9,.044
3_12_251_1,2011,Urban,3,India,12,India/China  1,251,East Siang,46.8,1.6,30,1.9,15.9,.044
3_12_252_1,2011,Rural,3,India,12,India/China  1,252,Upper Siang,58.8,2.2,28.4,2.8,21.5,.079
3_12_252_1,2011,Total,3,India,12,India/China  1,252,Upper Siang,58.8,2.2,28.4,2.8,21.5,.079
3_12_252_1,2011,Urban,3,India,12,India/China  1,252,Upper Siang,,,,,,
3_12_253_0,2011,Rural,3,India,12,Arunachal Pradesh,253,Changlang,21.1,59.1,25.3,2.8,24.1,.09
3_12_253_0,2011,Total,3,India,12,Arunachal Pradesh,253,Changlang,22.1,57,24.9,2.9,25.1,.098
3_12_253_0,2011,Urban,3,India,12,Arunachal Pradesh,253,Changlang,33.2,33.7,23.5,3.1,27.8,.124
3_12_254_0,2011,Rural,3,India,12,Arunachal Pradesh,254,Tirap,18.2,70.90000000000001,30.8,1.9,16.1,.042
3_12_254_0,2011,Total,3,India,12,Arunachal Pradesh,254,Tirap,20.5,63.7,27.7,2.4,19.8,.063
3_12_254_0,2011,Urban,3,India,12,Arunachal Pradesh,254,Tirap,34.3,21.3,27.3,2.5,19.3,.061
3_12_255_1,2011,Rural,3,India,12,India/China  1,255,Lower Subansiri,30.5,37,20.5,4.100000000000001,31.9,.164
3_12_255_1,2011,Total,3,India,12,India/China  1,255,Lower Subansiri,32.8,35.2,20.4,3.8,30.7,.153
3_12_255_1,2011,Urban,3,India,12,India/China  1,255,Lower Subansiri,42.2,27.9,23.7,3,23.2,.09
3_12_256_1,2011,Rural,3,India,12,India/China  1,256,Kurung Kumey,32.3,29,22.2,3.3,32.4,.171
3_12_256_1,2011,Total,3,India,12,India/China  1,256,Kurung Kumey,32.3,29,22.2,3.3,32.4,.171
3_12_256_1,2011,Urban,3,India,12,India/China  1,256,Kurung Kumey,,,,,,
3_12_257_1,2011,Rural,3,India,12,India/China  1,257,Dibang Valley,31.7,0,33.6,1.5,11.3,.025
3_12_257_1,2011,Total,3,India,12,India/China  1,257,Dibang Valley,31.7,0,33.6,1.5,11.3,.025
3_12_257_1,2011,Urban,3,India,12,India/China  1,257,Dibang Valley,,,,,,
3_12_258_0,2011,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,28.6,20.7,29.1,2.3,22,.078
3_12_258_1,2011,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,28.6,20.7,29.1,2.3,22,.078
3_12_258_0,2011,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,34.9,19.5,23.7,3.4,28.1,.125
3_12_258_1,2011,Total,3,India,12,India/China  1,258,Lower Dibang Valley,34.9,19.5,23.7,3.4,28.1,.125
3_12_258_1,2011,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,56.3,15.7,21.1,5.5,30.9,.159
3_12_258_0,2011,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,56.3,15.7,21.1,5.5,30.9,.159
3_12_259_0,2011,Rural,3,India,12,Arunachal Pradesh,259,Lohit,21.5,62.6,24.8,3,26.8,.113
3_12_259_1,2011,Rural,3,India,12,India/China  1,259,Lohit,21.5,62.6,24.8,3,26.8,.113
3_12_259_1,2011,Total,3,India,12,India/China  1,259,Lohit,23.9,57.5,23.3,3.1,28.1,.122
3_12_259_0,2011,Total,3,India,12,Arunachal Pradesh,259,Lohit,23.9,57.5,23.3,3.1,28.1,.122
3_12_259_0,2011,Urban,3,India,12,Arunachal Pradesh,259,Lohit,33.6,36,21.7,3.4,26.7,.118
3_12_259_1,2011,Urban,3,India,12,India/China  1,259,Lohit,33.6,36,21.7,3.4,26.7,.118
3_12_260_0,2011,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,29.4,24.9,28.5,2.2,20.8,.072
3_12_260_1,2011,Rural,3,India,12,India/China  1,260,Anjaw,29.4,24.9,28.5,2.2,20.8,.072
3_12_260_1,2011,Total,3,India,12,India/China  1,260,Anjaw,29.4,24.9,28.5,2.2,20.8,.072
3_12_260_0,2011,Total,3,India,12,Arunachal Pradesh,260,Anjaw,29.4,24.9,28.5,2.2,20.8,.072
3_12_260_0,2011,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,,,,,,
3_12_260_1,2011,Urban,3,India,12,India/China  1,260,Anjaw,,,,,,
3_13_261_0,2011,Rural,3,India,13,Nagaland,261,Mon,37.7,10.2,30.3,2,14.8,.035
3_13_261_0,2011,Total,3,India,13,Nagaland,261,Mon,39.3,11.6,29.3,2.5,16.8,.045
3_13_261_0,2011,Urban,3,India,13,Nagaland,261,Mon,44.8,16.5,27,2.7,21.2,.071
3_13_262_0,2011,Rural,3,India,13,Nagaland,262,Mokokchung,34.4,24.6,30.4,2.1,14.6,.035
3_13_262_0,2011,Total,3,India,13,Nagaland,262,Mokokchung,35.6,30.3,28.8,2.3,18.1,.052
3_13_262_0,2011,Urban,3,India,13,Nagaland,262,Mokokchung,38.5,43.8,25.2,2.9,23.8,.089
3_13_263_0,2011,Rural,3,India,13,Nagaland,263,Zunheboto,32.7,37,28.5,2.3,18.5,.055
3_13_263_0,2011,Total,3,India,13,Nagaland,263,Zunheboto,36.4,32.6,26.7,2.8,21.7,.074
3_13_263_0,2011,Urban,3,India,13,Nagaland,263,Zunheboto,46.40000000000001,21.2,25.4,2.8,23,.083
3_13_264_0,2011,Rural,3,India,13,Nagaland,264,Wokha,33.5,37.7,28.8,2.6,19.5,.061
3_13_264_0,2011,Total,3,India,13,Nagaland,264,Wokha,35.6,38.1,26.6,2.6,21.1,.07
3_13_264_0,2011,Urban,3,India,13,Nagaland,264,Wokha,39.1,38.8,25.7,2.9,22.5,.079
3_13_265_0,2011,Rural,3,India,13,Nagaland,265,Dimapur,45.90000000000001,16,26.4,2.7,21.8,.079
3_13_265_0,2011,Total,3,India,13,Nagaland,265,Dimapur,47.7,9.4,27.6,2.4,19.1,.06
3_13_265_0,2011,Urban,3,India,13,Nagaland,265,Dimapur,49.1,4.2,29.4,2.4,16.8,.045
3_13_266_0,2011,Rural,3,India,13,Nagaland,266,Phek,35.5,30.8,27.5,2.6,20.3,.064
3_13_266_0,2011,Total,3,India,13,Nagaland,266,Phek,37.6,25.5,26.9,2.9,20.8,.067
3_13_266_0,2011,Urban,3,India,13,Nagaland,266,Phek,42,14.3,27.7,2.8,20.6,.068
3_13_267_0,2011,Rural,3,India,13,Nagaland,267,Tuensang,37.3,13.3,29.3,2.3,16.7,.044
3_13_267_0,2011,Total,3,India,13,Nagaland,267,Tuensang,39.3,11.5,28.9,2.3,17.7,.05
3_13_267_0,2011,Urban,3,India,13,Nagaland,267,Tuensang,46.5,5.300000000000001,27.9,2.4,18.4,.053
3_13_268_0,2011,Rural,3,India,13,Nagaland,268,Longleng,38.90000000000001,22.9,26.5,2.7,19.9,.067
3_13_268_0,2011,Total,3,India,13,Nagaland,268,Longleng,39.8,22.9,26.1,2.8,21,.074
3_13_268_0,2011,Urban,3,India,13,Nagaland,268,Longleng,48,23.3,23.3,3,27.4,.124
3_13_269_0,2011,Rural,3,India,13,Nagaland,269,Kiphire,39.3,9.700000000000001,28.4,2.1,19.2,.06
3_13_269_0,2011,Total,3,India,13,Nagaland,269,Kiphire,40.2,8.9,28.6,2.1,18.9,.057
3_13_269_0,2011,Urban,3,India,13,Nagaland,269,Kiphire,41.3,7.9,29.4,2.2,18.3,.054
3_13_270_0,2011,Rural,3,India,13,Nagaland,270,Kohima,43.5,1.1,29.7,1.8,17.6,.054
3_13_270_0,2011,Total,3,India,13,Nagaland,270,Kohima,53.90000000000001,4.4,25.5,2.5,22.6,.08
3_13_270_0,2011,Urban,3,India,13,Nagaland,270,Kohima,65.3,8,26.5,2.5,20.3,.071
3_13_271_0,2011,Rural,3,India,13,Nagaland,271,Peren,32.9,22.7,28.8,4.2,20.8,.081
3_13_271_0,2011,Total,3,India,13,Nagaland,271,Peren,35.1,25,27.3,3.3,23,.093
3_13_271_0,2011,Urban,3,India,13,Nagaland,271,Peren,43.90000000000001,34.2,23.1,2.8,26.4,.111
3_14_272_0,2011,Rural,3,India,14,Manipur,272,Senapati,20.5,78.60000000000001,33,1.7,11,.019
3_14_272_0,2011,Total,3,India,14,Manipur,272,Senapati,20.5,78.60000000000001,33,1.7,11,.019
3_14_272_0,2011,Urban,3,India,14,Manipur,272,Senapati,,,,,,
3_14_273_0,2011,Rural,3,India,14,Manipur,273,Tamenglong,31.2,14.7,32.4,1.7,12.4,.027
3_14_273_0,2011,Total,3,India,14,Manipur,273,Tamenglong,31.2,14.7,32.4,1.7,12.4,.027
3_14_273_0,2011,Urban,3,India,14,Manipur,273,Tamenglong,,,,,,
3_14_274_0,2011,Rural,3,India,14,Manipur,274,Churachandpur,33.2,29.6,26.1,2.5,24,.092
3_14_274_0,2011,Total,3,India,14,Manipur,274,Churachandpur,33.2,29.6,26.1,2.5,24,.092
3_14_274_0,2011,Urban,3,India,14,Manipur,274,Churachandpur,,,,,,
3_14_275_0,2011,Rural,3,India,14,Manipur,275,Bishnupur,23.8,50.90000000000001,33.2,1.6,10.5,.018
3_14_275_0,2011,Total,3,India,14,Manipur,275,Bishnupur,25,49.7,31.2,1.9,13.5,.029
3_14_275_0,2011,Urban,3,India,14,Manipur,275,Bishnupur,26.8,47.90000000000001,28.8,2.3,16.8,.044
3_14_276_0,2011,Rural,3,India,14,Manipur,276,Thoubal,30.2,30.5,27.6,2.4,18.9,.059
3_14_276_0,2011,Total,3,India,14,Manipur,276,Thoubal,30.8,30,27.3,2.7,20.3,.066
3_14_276_0,2011,Urban,3,India,14,Manipur,276,Thoubal,31.6,29.3,27.2,2.9,21.5,.075
3_14_277_0,2011,Rural,3,India,14,Manipur,277,Imphal West,31.8,27.9,27.4,2.2,21.5,.078
3_14_277_0,2011,Total,3,India,14,Manipur,277,Imphal West,32,28,27.8,2.2,20.2,.068
