yVar,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_15_t,GQ:edu_lit_7_t,GQ:edu_sec_15_t,GQ:edu_ter_15_t,GQ:est_sh_1,GQ:ger_t,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_15_t,NSEW:edu_lit_7_t,NSEW:edu_sec_15_t,NSEW:edu_ter_15_t,NSEW:est_sh_1,NSEW:ger_t
logGdp,746,0.8772269906592497,-0.0701,NA,NA,NA,NA,-0.0057,NA,NA,NA,-0.0064*,NA,0.002,0.0045,NA,3e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
logGdpPc,746,0.8190988050647445,-0.2503**,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033**,-0.3243,-0.0035,0.0021*,NA,NA,0.0137,NA,0.0052*,NA,NA,NA,NA
logNtl_a,854,0.7173028560154072,-0.074,-0.0051,8e-04,NA,NA,NA,NA,0.0069,NA,NA,NA,NA,0.0946,NA,-0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA
logNtl_pc,854,0.5155468995926165,0.1498,NA,0.0025,NA,NA,0.0374*,-0.0103*,NA,NA,0.0252*,NA,NA,0.4468,-0.0108*,NA,NA,NA,0.0643*,NA,NA,NA,NA,NA,NA
nd,854,0.6025836381209475,34.7635,NA,NA,NA,NA,NA,NA,-0.298,NA,NA,NA,NA,-115.7406,NA,NA,NA,1.4856,1.6017,-0.4833*,NA,0.5483,-0.8211,-0.179,NA
pct_emp_both_tot,1421,-0.10656294801662858,-0.2**,NA,NA,NA,NA,-0.0037,NA,0.0021*,NA,-0.003,7e-04,9e-04,0.1668*,NA,NA,NA,NA,NA,NA,-0.0026**,NA,NA,NA,NA
pct_emp_f_tot,1421,-0.12391230008543741,-0.3122**,NA,NA,NA,NA,NA,NA,0.0025,NA,-0.0052,NA,0.002,0.1596,NA,NA,NA,NA,0.0166,NA,-0.0031,NA,NA,NA,NA
pct_emp_m_tot,1626,-0.22125882586588475,-0.0405,NA,NA,-0.0175***,NA,NA,NA,0.0021**,NA,-0.0024,NA,NA,0.0498**,NA,NA,NA,NA,-0.0079,NA,NA,NA,-0.0041**,NA,NA
pct_regWage_both_tot,1421,-0.023046108607924554,0.3431***,NA,-7e-04**,NA,NA,0.0039,NA,-0.0021*,NA,0.0035,NA,-0.0025***,-0.1996*,-0.0014,NA,NA,NA,NA,NA,0.0037***,NA,NA,NA,NA
pct_regWage_f_tot,1421,-0.168433473666306,0.0463,-0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.506***,NA,NA,0.0228*,NA,-0.0182*,-0.0029,0.0106**,NA,NA,NA,-0.0022**
povrate_rur,1451,0.38761482454789087,-0.8788,-0.0039*,NA,0.0195,0.0085,0.011,NA,NA,NA,NA,0.0034***,NA,-0.0736,NA,NA,NA,NA,NA,NA,0.0031,NA,NA,NA,-0.0026*
povrate_tot,1451,0.35626006991477555,-1.2473*,-0.0035*,-8e-04,0.0185,0.0129*,0.0099,NA,NA,NA,NA,0.0031***,NA,-0.0332,-0.0033,NA,NA,NA,NA,NA,0.0046,NA,NA,NA,-0.0021
povrate_urb,1626,-0.04791529495857727,0.2833**,-0.0037*,NA,NA,NA,NA,-0.0037,NA,0.0059,NA,NA,NA,-0.267,NA,NA,NA,NA,NA,NA,0.0053,NA,-0.0131*,NA,NA
totFarmEmp_f,746,0.29974949756963587,-137.318***,NA,0.063**,NA,1.5012***,0.7914**,NA,NA,-0.5465***,NA,NA,NA,77.3226**,-0.3505***,0.1224**,NA,-0.8742**,NA,NA,0.2489,NA,NA,0.1112*,-0.114*
totFarmEmp_tot,854,0.016934777464475692,-71.5846***,NA,NA,NA,0.7658***,NA,0.1066,NA,-0.3675***,NA,NA,NA,-2.266,-0.1855*,0.042,NA,NA,0.541,NA,NA,0.1823,-0.2854,NA,NA
totNonFarmEmp_f,746,0.3136233696308254,134.7905***,NA,-0.0721**,NA,-1.469***,-0.784**,NA,NA,0.5456***,NA,NA,NA,-80.8679**,0.3211**,-0.0966*,NA,0.8938**,NA,0.192,-0.4229*,NA,NA,NA,0.0956
totNonFarmEmp_tot,854,0.041350031965410095,62.7423***,NA,NA,NA,-0.6535***,NA,-0.1396**,NA,0.3914***,NA,NA,NA,-3.1504,0.2197**,-0.0427,0.7846,NA,-0.9048,NA,NA,-0.1659,0.2673,NA,NA
