varNames,description,source,varType,zType,summaryType,logs,title
mis_T_3b,,MA,z,,,,
mis_KT_3b,,MA,z,,,,
mis_K_3b,,MA,z,,,,
bank_t,"Households' access to banking services, total (percent of households)",spatial,z,Capital market,pop weighted mean,,
e_fin3,Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),spatial,z,Capital market,mean,,
e_pr_fin3,Priv. non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),spatial,z,Capital market,mean,,
edu_lit_15_t,"Literacy rate,15+ years,total(percent of population group)",spatial,z,Labor market,mean,,
edu_lit_7_t,"Literacy rate,7+ years,total(percent of population group)",spatial,z,Labor market,mean,,
edu_sec_15_t,"Secondary education completion rate,15+ years,total(percent of population group)",spatial,z,Labor market,mean,,
edu_ter_15_t,"Tertiary education completion rate,15+ years,total(percent of population group)",spatial,z,Labor market,mean,,
ger_t,"Gross primary enrollment, total (percent of population group)",spatial,z,Labor market,mean,,
c_oper_t,Mineral production capacity  (million metric tons per year ),spatial,z,Land market,mean,,
ac_irr,Land area actually irrigated (percent of land area),spatial,z,Land market,area weighted mean,,
cr_s,Cropland (percent of area),spatial,z,Land market,area weighted mean,,
hous_slm,Housing units located in urban slums(percent of housing units),spatial,z,Land market,mean,,
irr_all,Land area equipped for irrigation - Total (percent of land area),spatial,z,Land market,area weighted mean,,
lcrt,Land area with limited or no constraints (percent of land area),spatial,z,Land market,area weighted mean,,
est_sh_1,"formal manu,Food/beverage/tobacco (15, 16)(percent of establishments)",spatial,z,Product market,mean,,
di_e_2,"Diversification index of Non-agr. enterprises, ISIC 3.1 -2 digit(index)",spatial,z,Product market,mean,,
e_own1,Non-agr. enterprises by ownership -Private(percent of establishments),spatial,z,Product market,mean,,
e_own2,Non-agr. enterprises by ownership -Public(percent of establishments),spatial,z,Product market,mean,,
dens,Population density (people per sq. km.),spatial,control,,area weighted mean,,
edu_lit_7_t,"Literacy rate,7+ years,total(percent of population group)",spatial,control,,mean,,
elev,Elevation (meters),spatial,control,,mean,,
hh_elec_t,"Households' access to electricity,total(percent of households)",spatial,control,,pop weighted mean,,
pop,Population (thousands),spatial,control,,sum,,
sc,Scheduled Caste (SC) population (percent),spatial,control,,pop weighted mean,,
bank_t,"Households' access to banking services, total (percent of households)",spatial,control,,pop weighted mean,,
urbanPopShare,Share of urban population,spatial,control,,pop weighted mean,,
ap,Aerosol particle radius (percent of small particles),spatial,y,,mean,,Aerosole Radius
at,Aerosol optical thickness (thickness scale  0–1 ),spatial,y,,mean,,Aerosole Optical thickness
cm,Carbon monoxide levels (parts per billion by volume),spatial,y,,mean,,CO
emp_7_f,"Empl rate, 7+ years, main + marginal, Female (percent of age group)",spatial,y,,mean,,Female Emp Rate
emp_7_t,"Empl rate, 7+ years, main + marginal, Total (percent of age group)",spatial,y,,mean,,Total Emp Rate
emp_rwg_f,"Regular wage earners, Female (percent of total empl)",spatial,y,,mean,,Female wage earners
emp_rwg_t,"Regular wage earners, Total (percent of total emplt)",spatial,y,,mean,,Total wage earners
emp_slf_f,"Self-employed, Female(percent of total employment)",spatial,y,,mean,,Female Self Employed
emp_slf_t,"Self-employed,Total(percent of total employment)",spatial,y,,mean,,Total Self Employed
emp_fmr_f,"Farmers,  Female(percent of total employment)",spatial,y,,mean,,Female Farmers
emp_fmr_t,"Farmers, Total(percent of total employment)",spatial,y,,mean,,Total Farmers
emp_cwg_f,"Casual wage earners, Female(percent of total employment)",spatial,y,,mean,,Female Casual Wage Earners
emp_cwg_t,"Casual wage earners, Total(percent of total employment)",spatial,y,,mean,,Total Casual Wage Earners
fo_s,Forest (percent of area),spatial,y,,area weighted mean,,Forest Cover
gdp,"GDP (current USD, in millions)",spatial,y,,sum,,GDP
gdp_pc,GDP per capita (current USD),spatial,y,,pop weighted mean,,GDPperCap
nd,Nitrogen dioxide levels (billion molecules/mm2),spatial,y,,mean,,Nitrogen Dioxide
ntl_a,Light intensity per area,spatial,y,,area weighted mean,,Light Intensity (area)
ntl_pc,Light intensity per 1000 people,spatial,y,,pop weighted mean,,Light Intensity per 1000 ppl
dens,Population density (people per sq. km.),spatial,y,,area weighted mean,,Pop Density
urbanPopShare,Share of urban population,spatial,y,,pop weighted mean,,Share of Urban Pop
logGdp,"Log of GDP (current USD, in millions)",spatial,y,,,,Log GDP
logCons_pc_mean_tot,Log of mean hh consumption (total),LF,y,,,,Log of Rural + Urban HH Consumption
