variable,term,estimate,std.error,statistic,p.value,significance
N males employed/male total population,postNSEW,-0.03,0.01,-2.56,0.01,**
N males employed/male total population,gqDistTypenodal:postGQ,0.01,0.03,0.24,0.81,
N males employed/male total population,gqDistType0-40:postGQ,0.0,0.01,0.06,0.95,
N males employed/male total population,gqDistType40-100:postGQ,-0.0,0.01,-0.01,0.99,
N males employed/male total population,nsewDistTypenodal:postNSEW,-0.02,0.03,-0.71,0.48,
N males employed/male total population,nsewDistType0-40:postNSEW,-0.01,0.01,-1.08,0.28,
N males employed/male total population,nsewDistType40-100:postNSEW,0.01,0.01,0.72,0.47,
N employed/Total total population,postGQ,0.03,0.02,1.65,0.1,
N employed/Total total population,postNSEW,-0.04,0.02,-2.35,0.02,**
N employed/Total total population,gqDistTypenodal:postGQ,-0.02,0.03,-0.79,0.43,
N employed/Total total population,gqDistType0-40:postGQ,-0.0,0.01,-0.34,0.73,
N employed/Total total population,gqDistType40-100:postGQ,-0.01,0.01,-0.95,0.34,
N employed/Total total population,nsewDistTypenodal:postNSEW,0.0,0.04,0.11,0.91,
N employed/Total total population,nsewDistType0-40:postNSEW,-0.01,0.01,-1.21,0.23,
N employed/Total total population,nsewDistType40-100:postNSEW,0.0,0.01,0.49,0.62,
N rural females inactive/female rural population,postGQ,0.05,0.03,1.33,0.18,
N rural females inactive/female rural population,postNSEW,0.04,0.03,1.27,0.2,
N rural females inactive/female rural population,gqDistTypenodal:postGQ,0.05,0.06,0.73,0.47,
N rural females inactive/female rural population,gqDistType0-40:postGQ,-0.03,0.02,-1.67,0.1,
N rural females inactive/female rural population,gqDistType40-100:postGQ,0.02,0.02,1.12,0.26,
N rural females inactive/female rural population,nsewDistTypenodal:postNSEW,-0.0,0.07,-0.0,1.0,
N rural females inactive/female rural population,nsewDistType0-40:postNSEW,0.0,0.02,0.19,0.85,
N rural females inactive/female rural population,nsewDistType40-100:postNSEW,-0.02,0.02,-0.86,0.39,
N rural  males inactive/male rural population,postGQ,0.03,0.01,2.07,0.04,**
N rural  males inactive/male rural population,postNSEW,0.05,0.01,3.22,0.0,***
N rural  males inactive/male rural population,gqDistTypenodal:postGQ,0.0,0.03,0.13,0.9,
N rural  males inactive/male rural population,gqDistType0-40:postGQ,-0.01,0.01,-1.2,0.23,
N rural  males inactive/male rural population,gqDistType40-100:postGQ,-0.01,0.01,-1.19,0.23,
N rural  males inactive/male rural population,nsewDistTypenodal:postNSEW,0.01,0.03,0.26,0.79,
N rural  males inactive/male rural population,nsewDistType0-40:postNSEW,0.01,0.01,0.56,0.58,
N rural  males inactive/male rural population,nsewDistType40-100:postNSEW,-0.02,0.01,-1.87,0.06,
N rural  inactive/Total rural population,postGQ,0.04,0.02,1.88,0.06,
N rural  inactive/Total rural population,postNSEW,0.04,0.02,2.33,0.02,**
N rural  inactive/Total rural population,gqDistTypenodal:postGQ,0.02,0.04,0.55,0.58,
N rural  inactive/Total rural population,gqDistType0-40:postGQ,-0.01,0.01,-1.54,0.12,
N rural  inactive/Total rural population,gqDistType40-100:postGQ,0.01,0.01,0.68,0.5,
N rural  inactive/Total rural population,nsewDistTypenodal:postNSEW,0.0,0.04,0.07,0.95,
N rural  inactive/Total rural population,nsewDistType0-40:postNSEW,0.0,0.01,0.22,0.82,
N rural  inactive/Total rural population,nsewDistType40-100:postNSEW,-0.02,0.01,-1.54,0.12,
N urban  females inactive/female urban population,postGQ,-0.09,0.02,-3.97,0.0,***
N urban  females inactive/female urban population,postNSEW,0.06,0.02,2.66,0.01,**
N urban  females inactive/female urban population,gqDistTypenodal:postGQ,0.02,0.04,0.38,0.71,
N urban  females inactive/female urban population,gqDistType0-40:postGQ,0.01,0.01,0.9,0.37,
N urban  females inactive/female urban population,gqDistType40-100:postGQ,0.01,0.01,0.89,0.38,
N urban  females inactive/female urban population,nsewDistTypenodal:postNSEW,0.01,0.05,0.28,0.78,
N urban  females inactive/female urban population,nsewDistType0-40:postNSEW,0.03,0.02,1.76,0.08,
N urban  females inactive/female urban population,nsewDistType40-100:postNSEW,0.02,0.01,1.19,0.23,
N urban  males inactive/male urban population,postGQ,0.01,0.02,0.65,0.51,
N urban  males inactive/male urban population,postNSEW,0.03,0.02,1.47,0.14,
N urban  males inactive/male urban population,gqDistTypenodal:postGQ,0.02,0.04,0.51,0.61,
N urban  males inactive/male urban population,gqDistType0-40:postGQ,0.0,0.01,0.1,0.92,
N urban  males inactive/male urban population,gqDistType40-100:postGQ,0.01,0.01,0.95,0.34,
N urban  males inactive/male urban population,nsewDistTypenodal:postNSEW,-0.01,0.04,-0.21,0.83,
N urban  males inactive/male urban population,nsewDistType0-40:postNSEW,0.01,0.01,0.76,0.45,
N urban  males inactive/male urban population,nsewDistType40-100:postNSEW,0.0,0.01,0.45,0.66,
N urban  inactive/Total urban population,postGQ,-0.04,0.02,-2.33,0.02,**
N urban  inactive/Total urban population,postNSEW,0.05,0.02,2.9,0.0,***
N urban  inactive/Total urban population,gqDistTypenodal:postGQ,0.02,0.03,0.65,0.51,
N urban  inactive/Total urban population,gqDistType0-40:postGQ,0.01,0.01,1.04,0.3,
N urban  inactive/Total urban population,gqDistType40-100:postGQ,0.01,0.01,1.45,0.15,
N urban  inactive/Total urban population,nsewDistTypenodal:postNSEW,-0.01,0.03,-0.39,0.7,
N urban  inactive/Total urban population,nsewDistType0-40:postNSEW,0.02,0.01,1.97,0.05,
N urban  inactive/Total urban population,nsewDistType40-100:postNSEW,0.01,0.01,1.03,0.3,
N females inactive/female total population,postGQ,-0.07,0.03,-2.57,0.01,**
N females inactive/female total population,postNSEW,0.05,0.03,1.73,0.08,
N females inactive/female total population,gqDistTypenodal:postGQ,0.07,0.05,1.32,0.19,
N females inactive/female total population,gqDistType0-40:postGQ,-0.0,0.01,-0.04,0.97,
N females inactive/female total population,gqDistType40-100:postGQ,0.01,0.01,0.69,0.49,
N females inactive/female total population,nsewDistTypenodal:postNSEW,-0.01,0.06,-0.08,0.93,
N females inactive/female total population,nsewDistType0-40:postNSEW,0.02,0.02,0.86,0.39,
N females inactive/female total population,nsewDistType40-100:postNSEW,-0.01,0.02,-0.3,0.76,
N males inactive/male total population,postGQ,0.0,0.01,0.39,0.7,
N males inactive/male total population,postNSEW,0.04,0.01,3.51,0.0,***
N males inactive/male total population,gqDistTypenodal:postGQ,0.01,0.02,0.29,0.77,
N males inactive/male total population,gqDistType0-40:postGQ,-0.0,0.01,-0.25,0.81,
N males inactive/male total population,gqDistType40-100:postGQ,-0.0,0.01,-0.63,0.53,
N males inactive/male total population,nsewDistTypenodal:postNSEW,0.01,0.03,0.5,0.62,
N males inactive/male total population,nsewDistType0-40:postNSEW,0.01,0.01,0.6,0.55,
N males inactive/male total population,nsewDistType40-100:postNSEW,-0.01,0.01,-1.04,0.3,
N inactive/Total total population,postGQ,-0.03,0.02,-2.07,0.04,**
N inactive/Total total population,postNSEW,0.05,0.02,2.82,0.0,***
N inactive/Total total population,gqDistTypenodal:postGQ,0.03,0.03,1.08,0.28,
N inactive/Total total population,gqDistType0-40:postGQ,0.0,0.01,0.19,0.85,
N inactive/Total total population,gqDistType40-100:postGQ,0.01,0.01,0.68,0.5,
N inactive/Total total population,nsewDistTypenodal:postNSEW,-0.01,0.03,-0.22,0.83,
N inactive/Total total population,nsewDistType0-40:postNSEW,0.01,0.01,0.9,0.37,
N inactive/Total total population,nsewDistType40-100:postNSEW,-0.01,0.01,-0.71,0.48,
N rural females wage employed/N female rural employed,postGQ,-0.02,0.05,-0.51,0.61,
N rural females wage employed/N female rural employed,postNSEW,0.11,0.05,2.35,0.02,**
N rural females wage employed/N female rural employed,gqDistTypenodal:postGQ,0.01,0.09,0.17,0.87,
N rural females wage employed/N female rural employed,gqDistType0-40:postGQ,-0.01,0.02,-0.55,0.58,
N rural females wage employed/N female rural employed,gqDistType40-100:postGQ,0.01,0.02,0.39,0.7,
N rural females wage employed/N female rural employed,nsewDistTypenodal:postNSEW,0.11,0.1,1.11,0.27,
N rural females wage employed/N female rural employed,nsewDistType0-40:postNSEW,-0.01,0.03,-0.29,0.77,
N rural females wage employed/N female rural employed,nsewDistType40-100:postNSEW,0.0,0.03,0.0,1.0,
N rural males wage employed/N male rural employed,postGQ,0.02,0.03,0.76,0.45,
N rural males wage employed/N male rural employed,postNSEW,0.08,0.03,2.75,0.01,**
N rural males wage employed/N male rural employed,gqDistTypenodal:postGQ,0.06,0.05,1.14,0.26,
N rural males wage employed/N male rural employed,gqDistType0-40:postGQ,-0.01,0.01,-0.98,0.33,
N rural males wage employed/N male rural employed,gqDistType40-100:postGQ,0.01,0.01,0.71,0.48,
N rural males wage employed/N male rural employed,nsewDistTypenodal:postNSEW,-0.04,0.06,-0.72,0.47,
N rural males wage employed/N male rural employed,nsewDistType0-40:postNSEW,0.02,0.02,0.88,0.38,
N rural males wage employed/N male rural employed,nsewDistType40-100:postNSEW,-0.02,0.02,-1.28,0.2,
N rural wage employed/Total rural employed,postGQ,0.0,0.03,0.14,0.89,
N rural wage employed/Total rural employed,postNSEW,0.09,0.03,3.13,0.0,***
N rural wage employed/Total rural employed,gqDistTypenodal:postGQ,0.05,0.05,0.85,0.4,
N rural wage employed/Total rural employed,gqDistType0-40:postGQ,-0.02,0.01,-1.23,0.22,
N rural wage employed/Total rural employed,gqDistType40-100:postGQ,0.01,0.01,0.59,0.56,
N rural wage employed/Total rural employed,nsewDistTypenodal:postNSEW,-0.0,0.06,-0.07,0.95,
N rural wage employed/Total rural employed,nsewDistType0-40:postNSEW,0.02,0.02,0.85,0.4,
N rural wage employed/Total rural employed,nsewDistType40-100:postNSEW,-0.01,0.02,-0.65,0.51,
N urban females wage employed/N female urban employed,postGQ,-0.06,0.07,-0.88,0.38,
N urban females wage employed/N female urban employed,postNSEW,0.03,0.07,0.45,0.66,
N urban females wage employed/N female urban employed,gqDistTypenodal:postGQ,-0.03,0.13,-0.27,0.79,
N urban females wage employed/N female urban employed,gqDistType0-40:postGQ,0.01,0.03,0.36,0.72,
N urban females wage employed/N female urban employed,gqDistType40-100:postGQ,0.05,0.03,1.49,0.14,
N urban females wage employed/N female urban employed,nsewDistTypenodal:postNSEW,0.11,0.15,0.75,0.45,
N urban females wage employed/N female urban employed,nsewDistType0-40:postNSEW,0.0,0.05,0.0,1.0,
N urban females wage employed/N female urban employed,nsewDistType40-100:postNSEW,-0.01,0.04,-0.23,0.82,
N urban males wage employed/N male urban employed,postGQ,-0.04,0.03,-1.24,0.22,
N urban males wage employed/N male urban employed,postNSEW,0.05,0.03,1.44,0.15,
N urban males wage employed/N male urban employed,gqDistTypenodal:postGQ,0.03,0.06,0.56,0.58,
N urban males wage employed/N male urban employed,gqDistType0-40:postGQ,0.01,0.02,0.38,0.7,
N urban males wage employed/N male urban employed,gqDistType40-100:postGQ,-0.0,0.02,-0.07,0.94,
N urban males wage employed/N male urban employed,nsewDistTypenodal:postNSEW,-0.01,0.07,-0.19,0.85,
N urban males wage employed/N male urban employed,nsewDistType0-40:postNSEW,-0.05,0.02,-1.89,0.06,
N urban males wage employed/N male urban employed,nsewDistType40-100:postNSEW,-0.03,0.02,-1.49,0.14,
N urban wage employed/Total urban employed,postGQ,-0.05,0.03,-1.57,0.12,
N urban wage employed/Total urban employed,postNSEW,0.05,0.03,1.5,0.13,
N urban wage employed/Total urban employed,gqDistTypenodal:postGQ,0.03,0.06,0.4,0.69,
N urban wage employed/Total urban employed,gqDistType0-40:postGQ,0.01,0.02,0.65,0.52,
N urban wage employed/Total urban employed,gqDistType40-100:postGQ,0.01,0.02,0.41,0.68,
N urban wage employed/Total urban employed,nsewDistTypenodal:postNSEW,0.0,0.07,0.02,0.99,
N urban wage employed/Total urban employed,nsewDistType0-40:postNSEW,-0.04,0.02,-1.6,0.11,
N urban wage employed/Total urban employed,nsewDistType40-100:postNSEW,-0.03,0.02,-1.48,0.14,
N total females wage employed/N female employed,postGQ,-0.03,0.04,-0.65,0.51,
N total females wage employed/N female employed,postNSEW,0.1,0.04,2.41,0.02,**
N total females wage employed/N female employed,gqDistTypenodal:postGQ,0.01,0.08,0.14,0.89,
N total females wage employed/N female employed,gqDistType0-40:postGQ,-0.01,0.02,-0.71,0.48,
N total females wage employed/N female employed,gqDistType40-100:postGQ,0.01,0.02,0.59,0.56,
N total females wage employed/N female employed,nsewDistTypenodal:postNSEW,0.07,0.09,0.8,0.42,
N total females wage employed/N female employed,nsewDistType0-40:postNSEW,-0.0,0.03,-0.02,0.98,
N total females wage employed/N female employed,nsewDistType40-100:postNSEW,-0.01,0.02,-0.21,0.83,
N total males wage employed/N male employed,postGQ,-0.02,0.02,-0.94,0.35,
N total males wage employed/N male employed,postNSEW,0.07,0.02,2.88,0.0,***
N total males wage employed/N male employed,gqDistTypenodal:postGQ,0.08,0.05,1.81,0.07,
N total males wage employed/N male employed,gqDistType0-40:postGQ,-0.01,0.01,-0.64,0.52,
N total males wage employed/N male employed,gqDistType40-100:postGQ,-0.0,0.01,-0.12,0.91,
N total males wage employed/N male employed,nsewDistTypenodal:postNSEW,-0.04,0.05,-0.73,0.47,
N total males wage employed/N male employed,nsewDistType0-40:postNSEW,0.01,0.02,0.48,0.63,
N total males wage employed/N male employed,nsewDistType40-100:postNSEW,-0.02,0.01,-1.31,0.19,
N total wage employed/Total employed,postGQ,-0.02,0.03,-0.94,0.35,
N total wage employed/Total employed,postNSEW,0.08,0.03,3.33,0.0,***
N total wage employed/Total employed,gqDistTypenodal:postGQ,0.08,0.05,1.68,0.09,
N total wage employed/Total employed,gqDistType0-40:postGQ,-0.01,0.01,-1.08,0.28,
N total wage employed/Total employed,gqDistType40-100:postGQ,-0.0,0.01,-0.22,0.82,
N total wage employed/Total employed,nsewDistTypenodal:postNSEW,-0.01,0.05,-0.21,0.84,
N total wage employed/Total employed,nsewDistType0-40:postNSEW,0.01,0.02,0.41,0.68,
N total wage employed/Total employed,nsewDistType40-100:postNSEW,-0.01,0.01,-0.73,0.47,
N rural females regular wage employed/N female rural employed,postGQ,0.03,0.02,1.58,0.11,
N rural females regular wage employed/N female rural employed,postNSEW,0.01,0.02,0.54,0.59,
N rural females regular wage employed/N female rural employed,gqDistTypenodal:postGQ,-0.04,0.04,-1.04,0.3,
N rural females regular wage employed/N female rural employed,gqDistType0-40:postGQ,-0.0,0.01,-0.11,0.91,
N rural females regular wage employed/N female rural employed,gqDistType40-100:postGQ,-0.0,0.01,-0.46,0.64,
N rural females regular wage employed/N female rural employed,nsewDistTypenodal:postNSEW,0.11,0.04,2.69,0.01,**
N rural females regular wage employed/N female rural employed,nsewDistType0-40:postNSEW,-0.02,0.01,-1.34,0.18,
N rural females regular wage employed/N female rural employed,nsewDistType40-100:postNSEW,-0.01,0.01,-0.86,0.39,
N rural males regular wage employed/N male rural employed,postGQ,0.03,0.01,2.09,0.04,**
N rural males regular wage employed/N male rural employed,postNSEW,-0.01,0.01,-0.4,0.69,
N rural males regular wage employed/N male rural employed,gqDistTypenodal:postGQ,0.09,0.03,3.51,0.0,***
N rural males regular wage employed/N male rural employed,gqDistType0-40:postGQ,-0.01,0.01,-1.09,0.28,
N rural males regular wage employed/N male rural employed,gqDistType40-100:postGQ,-0.01,0.01,-0.92,0.36,
N rural males regular wage employed/N male rural employed,nsewDistTypenodal:postNSEW,-0.03,0.03,-1.12,0.26,
N rural males regular wage employed/N male rural employed,nsewDistType0-40:postNSEW,0.0,0.01,0.48,0.63,
N rural males regular wage employed/N male rural employed,nsewDistType40-100:postNSEW,0.0,0.01,0.33,0.75,
N rural regular wage employed/Total rural employed,postGQ,0.03,0.01,2.55,0.01,**
N rural regular wage employed/Total rural employed,postNSEW,-0.0,0.01,-0.08,0.94,
N rural regular wage employed/Total rural employed,gqDistTypenodal:postGQ,0.05,0.02,2.34,0.02,**
N rural regular wage employed/Total rural employed,gqDistType0-40:postGQ,-0.01,0.01,-1.25,0.21,
N rural regular wage employed/Total rural employed,gqDistType40-100:postGQ,-0.01,0.01,-1.05,0.29,
N rural regular wage employed/Total rural employed,nsewDistTypenodal:postNSEW,0.01,0.03,0.34,0.74,
N rural regular wage employed/Total rural employed,nsewDistType0-40:postNSEW,0.0,0.01,0.16,0.87,
N rural regular wage employed/Total rural employed,nsewDistType40-100:postNSEW,0.0,0.01,0.04,0.97,
N urban females regular wage employed/N female urban employed,postGQ,0.07,0.06,1.08,0.28,
N urban females regular wage employed/N female urban employed,postNSEW,-0.0,0.06,-0.08,0.94,
N urban females regular wage employed/N female urban employed,gqDistTypenodal:postGQ,-0.04,0.12,-0.34,0.73,
N urban females regular wage employed/N female urban employed,gqDistType0-40:postGQ,-0.03,0.03,-0.86,0.39,
N urban females regular wage employed/N female urban employed,gqDistType40-100:postGQ,0.02,0.03,0.61,0.54,
N urban females regular wage employed/N female urban employed,nsewDistTypenodal:postNSEW,0.28,0.14,2.06,0.04,**
N urban females regular wage employed/N female urban employed,nsewDistType0-40:postNSEW,0.06,0.05,1.37,0.17,
N urban females regular wage employed/N female urban employed,nsewDistType40-100:postNSEW,0.0,0.04,0.12,0.9,
N urban males regular wage employed/N male urban employed,postGQ,-0.05,0.03,-1.45,0.15,
N urban males regular wage employed/N male urban employed,postNSEW,0.04,0.03,1.28,0.2,
N urban males regular wage employed/N male urban employed,gqDistTypenodal:postGQ,0.09,0.06,1.48,0.14,
N urban males regular wage employed/N male urban employed,gqDistType0-40:postGQ,0.0,0.02,0.18,0.86,
N urban males regular wage employed/N male urban employed,gqDistType40-100:postGQ,-0.01,0.02,-0.34,0.74,
N urban males regular wage employed/N male urban employed,nsewDistTypenodal:postNSEW,0.06,0.07,0.87,0.38,
N urban males regular wage employed/N male urban employed,nsewDistType0-40:postNSEW,-0.0,0.02,-0.08,0.94,
N urban males regular wage employed/N male urban employed,nsewDistType40-100:postNSEW,-0.01,0.02,-0.27,0.79,
N urban regular wage employed/Total urban employed,postGQ,-0.03,0.03,-0.89,0.37,
N urban regular wage employed/Total urban employed,postNSEW,0.04,0.03,1.09,0.27,
N urban regular wage employed/Total urban employed,gqDistTypenodal:postGQ,0.07,0.06,1.13,0.26,
N urban regular wage employed/Total urban employed,gqDistType0-40:postGQ,0.0,0.02,0.22,0.82,
N urban regular wage employed/Total urban employed,gqDistType40-100:postGQ,-0.0,0.02,-0.14,0.89,
N urban regular wage employed/Total urban employed,nsewDistTypenodal:postNSEW,0.09,0.07,1.27,0.2,
N urban regular wage employed/Total urban employed,nsewDistType0-40:postNSEW,0.01,0.02,0.21,0.83,
N urban regular wage employed/Total urban employed,nsewDistType40-100:postNSEW,-0.01,0.02,-0.46,0.64,
N total females regular wage employed/N female employed,postGQ,0.02,0.02,0.74,0.46,
N total females regular wage employed/N female employed,postNSEW,0.01,0.02,0.63,0.53,
N total females regular wage employed/N female employed,gqDistTypenodal:postGQ,0.02,0.04,0.56,0.57,
N total females regular wage employed/N female employed,gqDistType0-40:postGQ,-0.01,0.01,-0.7,0.49,
N total females regular wage employed/N female employed,gqDistType40-100:postGQ,-0.0,0.01,-0.16,0.88,
