yVar,yType,description,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_7_t,GQ:edu_sec_15_t,GQ:est_sh_1,GQ:governanceIndex,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_7_t,NSEW:edu_sec_15_t,NSEW:est_sh_1,NSEW:governanceIndex
emp_slf_f,inclusion,"Self-employed, Female(percent of total employment)",832,-0.6,-3.7667**,NA,NA,NA,NA,NA,NA,0.082,0.063**,0.9281,14.3783***,0.1122*,-0.0499*,-0.5175,NA,NA,-0.2189***,0.1047,NA,-1.1423
emp_slf_t,inclusion,"Self-employed,Total(percent of total employment)",832,-0.6,-4.3258***,NA,NA,-0.0654,NA,NA,0.0741***,NA,0.0235*,-1.8125,4.898**,-0.0274,NA,-0.3528*,NA,0.4125**,-0.083***,0.095**,NA,0.2937
pct_emp_both_tot,inclusion,N employed/Total total population,1592,-0.2,-0.0053,NA,NA,-0.0115*,NA,NA,0.0011,NA,4e-04,-0.0583,0.1625**,NA,NA,NA,NA,NA,-0.003**,NA,NA,0.0226
pct_emp_f_tot,inclusion,N females employed/female total population,1592,-0.2,0.026,NA,NA,NA,NA,NA,NA,NA,7e-04,-0.1097,0.2415*,NA,NA,NA,NA,0.0216*,-0.0062***,0.0055*,NA,-0.1033
pct_regWage_both_tot,inclusion,N total regular wage employed/Total employed,1592,-0.2,0.071,NA,-4e-04,NA,NA,NA,-0.0014,NA,-2e-04,0.1271*,-0.0547,-7e-04,NA,-0.0068,NA,NA,0.0033**,NA,-5e-04,-0.1639
pct_regWage_f_tot,inclusion,N total females regular wage employed/N female employed,1592,-0.3,0.6901*,-0.0027***,NA,-0.0241***,-0.0062,NA,NA,NA,NA,0.2232***,-0.2169*,NA,NA,NA,NA,-0.017**,0.0042**,NA,-6e-04,-0.0364
totFarmEmp_f,inclusion,emp_fmr_f + emp_cwg_f,832,0.2,-116.7172***,NA,0.0292,NA,1.2805***,0.6323**,NA,-0.4516***,-0.0484,6.311,58.896,NA,NA,NA,-0.5704,-1.1709**,NA,-0.157,NA,0.1802
totFarmEmp_tot,inclusion,emp_fmr_t + emp_cwg_t,832,-0.2,-60.4716***,NA,NA,NA,0.5971***,NA,0.1707**,-0.3131***,NA,-1.3668,35.2363,NA,NA,NA,-0.383,NA,NA,NA,0.0504,-6.037
totNonFarmEmp_f,inclusion,emp_rwg_f + emp_slf_f,832,0.2,116.3905***,NA,-0.0301,NA,-1.2697***,-0.6441**,NA,0.4507***,0.0288,-6.6951,-73.1525*,NA,NA,NA,0.7212*,1.0624*,NA,0.1408,NA,1.5415
totNonFarmEmp_tot,inclusion,emp_rwg_t + emp_slf_t,832,-0.1,54.4454***,NA,NA,NA,-0.5135**,NA,-0.1952**,0.3254***,NA,0.3746,-70.7698**,NA,NA,1.0729*,0.7046**,NA,NA,NA,NA,2.9084
consumptGr,welfare,logCons_pc_mean_tot(t) - logCons_pc_mean_tot(t-1),1212,-0.4,-0.3666,NA,NA,NA,NA,-0.0193,0.0065,NA,NA,-0.0792,0.2359,-0.0071*,-5e-04,-0.0528,NA,NA,NA,NA,NA,0.5236
logCons_pc_mean_tot,welfare,Log of mean hh consumption (total),1627,0.2,-0.9421,-0.0043**,-0.0012*,NA,0.0112*,NA,NA,NA,0.0017,0.1306,0.0926,NA,-0.0011,NA,NA,-0.0182,0.0013,NA,NA,-0.1725
logGdp,welfare,"Log of GDP (current USD, in millions)",832,0.7,0.1314,NA,-0.001,NA,NA,NA,NA,NA,-8e-04,-0.1486,-0.4298*,-0.0039,0.0037**,NA,NA,0.0135,0.0029,NA,NA,0.2855
logGdpPc,welfare,"Log of GDP per capita (current USD, in millions)",832,0.6,0.8107,NA,NA,NA,-0.0082,NA,NA,NA,-5e-04,-0.0564,-0.3637*,-0.0031,0.0031**,NA,NA,NA,0.0022,NA,NA,0.2724
logNtl_a,welfare,Light intensity per area in logs,832,0.5,-0.369,-0.012**,0.0052**,NA,NA,0.0259,0.0061,NA,NA,0.1056,-0.2815,NA,NA,NA,-0.0019,NA,NA,NA,NA,0.8725
logNtl_pc,welfare,Light intensity per 1000 people in logs,832,0.2,-0.0854,-0.0068,0.0034,NA,NA,0.0136,NA,NA,-0.001,0.3557,-0.6187**,NA,NA,NA,NA,-0.0154,NA,NA,NA,1.2809**
pct_emp_m_tot,NA,NA,1592,-0.3,-0.0271,NA,NA,-0.018***,NA,NA,0.0016**,NA,NA,0.0066,0.1096*,1e-04,NA,NA,NA,-0.0065,-0.0024**,NA,NA,0.0914
